数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2015/12/21,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.02,0.54,0.69,0.74,0.75,0.74,0.65,0.66,0.66,0.61,0.13,0.07,0.06,0.23,0,0,800,高供高计,100,东新营业班
2015/12/22,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.64,0.69,0.68,0.69,0.53,0.53,0.52,0.48,0.48,0.07,0.02,0.02,0,0,0,0,800,高供高计,100,东新营业班
2015/12/22,903474879,04435(1153),4221,分表０２,B相,0,0.01,0,0.01,0,0.01,0,0.01,0.49,0.57,0.63,0.65,0.73,0.73,0.55,0.49,0.48,0.09,0.02,0.02,0.01,0,0.01,0,800,高供高计,100,东新营业班
2015/12/22,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.56,0.55,0.6,0.56,0.62,0.62,0.61,0.62,0.66,0.14,0.02,0.06,0,0.04,0,0,800,高供高计,100,东新营业班
2015/12/24,903474879,04435(1153),4221,分表０２,A相,0,0.01,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.38,0.3,0.02,0.02,0,0,0,0,800,高供高计,100,东新营业班
2015/12/24,903474879,04435(1153),4221,分表０２,B相,0,0.01,0.01,0,0,0,0,0.01,0.01,0.3,0.3,0.3,0.31,0.38,0.3,0.3,0.31,0.31,0.03,0.03,0,0.01,0,0,800,高供高计,100,东新营业班
2015/12/24,903474879,04435(1153),4221,分表０２,C相,0,0.07,0,0,0,0,0,0.03,0.04,0.3,0.34,0.31,0.32,0.31,0.34,0.31,0.36,0.32,0.05,0.05,0,0,0,0.03,800,高供高计,100,东新营业班
2015/12/25,903474879,04435(1153),4221,分表０２,A相,0,0.01,0,0,0,0,0,0,0.01,0.31,0.36,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.06,0,0,0,0,0,800,高供高计,100,东新营业班
2015/12/25,903474879,04435(1153),4221,分表０２,B相,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.07,0,0,0.01,0,0.01,800,高供高计,100,东新营业班
2015/12/25,903474879,04435(1153),4221,分表０２,C相,0,0.08,0,0,0,0,0.08,0,0.05,0.39,0.35,0.3,0.31,0.31,0.31,0.34,0.44,0.3,0.1,0.03,0.03,0,0,0,800,高供高计,100,东新营业班
2015/12/26,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0,0.3,0.35,0.35,0.3,0.3,0.35,0.35,0.36,0.34,0.06,0,0,0,0,0,800,高供高计,100,东新营业班
2015/12/26,903474879,04435(1153),4221,分表０２,B相,0,0,0.01,0,0.01,0,0.01,0,0.01,0.3,0.31,0.38,0.33,0.31,0.32,0.31,0.31,0.31,0.07,0.01,0,0,0,0,800,高供高计,100,东新营业班
2015/12/26,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0.03,0,0,0,0,0.31,0.39,0.38,0.39,0.42,0.39,0.42,0.39,0.39,0.16,0,0.03,0,0,0.03,800,高供高计,100,东新营业班
2015/12/27,903474879,04435(1153),4221,分表０２,C相,0,0,0.03,0,0,0,0,0,0,0.01,0.19,0.08,0.2,0.05,0.1,0.05,0.05,0.06,0.22,0.15,0,0,0,0.03,800,高供高计,100,东新营业班
2015/12/28,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.01,0.3,0.36,0.3,0.48,0.48,0.68,0.48,0.48,0.48,0.02,0.02,0,0,0,0,800,高供高计,100,东新营业班
2015/12/28,903474879,04435(1153),4221,分表０２,B相,0,0,0,0.01,0,0,0.01,0,0.01,0.31,0.3,0.3,0.49,0.5,0.55,0.49,0.49,0.49,0.1,0.01,0.01,0,0,0,800,高供高计,100,东新营业班
2015/12/28,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0.03,0,0,0,0.11,0.31,0.3,0.31,0.58,0.56,0.55,0.55,0.6,0.56,0.03,0.04,0,0,0,0,800,高供高计,100,东新营业班
2015/12/29,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0,0.31,0.3,0.45,0.71,0.71,0.64,0.65,0.56,0.56,0.22,0.23,0.23,0.2,0,0,800,高供高计,100,东新营业班
2016/11/29,903474879,04435(1153),4221,主供主表,A相,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.15,0.14,0.12,0.12,0.1,0.12,0.15,0.17,0.25,0.15,0.1,0.08,0.09,0.09,0.09,0.09,800,高供高计,1000,东新营业班
2016/11/29,903474879,04435(1153),4221,主供主表,B相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,高供高计,1000,东新营业班
