测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2015/10/3,340,538.69,170,280.5
主供主表,2015/10/4,360,539.05,170,280.67
主供主表,2015/10/5,390,539.45,190,280.86
主供主表,2015/10/6,410,539.85,190,281.05
主供主表,2015/10/7,420,540.27,180,281.23
主供主表,2015/10/8,890,541.16,370,281.6
主供主表,2015/10/9,820,541.98,340,281.94
主供主表,2015/10/10,760,542.74,330,282.27
主供主表,2015/10/11,420,543.16,150,282.42
主供主表,2015/10/12,830,543.99,340,282.76
主供主表,2015/10/13,860,544.86,420,283.18
主供主表,2015/10/14,840,545.69,400,283.58
主供主表,2015/10/15,910,546.6,400,283.98
主供主表,2015/10/16,850,547.46,370,284.35
主供主表,2015/10/17,420,547.87,230,284.58
主供主表,2015/10/18,390,548.26,190,284.77
主供主表,2015/10/19,830,549.09,380,285.15
主供主表,2015/10/20,810,549.9,360,285.51
主供主表,2015/10/21,890,550.8,480,285.99
主供主表,2015/10/22,830,551.62,380,286.37
主供主表,2015/10/23,840,552.46,370,286.74
主供主表,2015/10/24,450,552.91,250,286.99
主供主表,2015/10/25,380,553.29,230,287.22
主供主表,2015/10/26,840,554.13,440,287.66
主供主表,2015/10/27,800,554.93,320,287.98
主供主表,2015/10/28,920,555.85,490,288.48
主供主表,2015/10/29,980,556.83,610,289.08
主供主表,2015/10/30,920,557.75,540,289.62
主供主表,2015/10/31,440,558.19,200,289.82
主供主表,2015/11/1,410,558.6,210,290.03
主供主表,2015/11/2,890,559.49,440,290.47
主供主表,2015/11/3,820,560.31,410,290.88
主供主表,2015/11/4,850,561.16,430,291.31
主供主表,2015/11/5,890,562.05,470,291.78
主供主表,2015/11/6,910,562.96,480,292.26
主供主表,2015/11/7,400,563.36,230,292.49
主供主表,2015/11/8,390,563.75,220,292.71
主供主表,2015/11/9,880,564.63,390,293.1
主供主表,2015/11/10,"1,100.00",565.73,570,293.67
主供主表,2015/11/11,"1,170.00",566.9,680,294.35
主供主表,2015/11/12,"1,350.00",568.25,740,295.09
主供主表,2015/11/13,"1,230.00",569.48,710,295.8
主供主表,2015/11/14,510,569.99,220,296.02
主供主表,2015/11/15,350,570.34,200,296.22
主供主表,2015/11/16,"1,250.00",571.59,690,296.92
主供主表,2015/11/17,"1,290.00",572.88,790,297.7
