数据日期,用户名称,综合倍率,表位数,总,尖,峰,平,谷
2015/6/18,楚天激光集团股份有限公司,60,5.2,141,0,40.2,83.4,17.4
2015/6/19,楚天激光集团股份有限公司,1000,6.2,2430,0,610,1580,240
2015/6/19,楚天激光集团股份有限公司,100,5.2,211,0,86,120,5
2015/6/19,楚天激光集团股份有限公司,60,5.2,165.6,0,48.6,96,21
2015/6/20,楚天激光集团股份有限公司,1000,6.2,470,0,130,210,130
2015/6/20,楚天激光集团股份有限公司,100,5.2,9,0,2,5,2
2015/6/20,楚天激光集团股份有限公司,60,5.2,99,0,28.8,51,19.2
2015/6/21,楚天激光集团股份有限公司,1000,6.2,500,0,130,240,130
2015/6/21,楚天激光集团股份有限公司,100,5.2,57,0,18,37,2
2015/6/21,楚天激光集团股份有限公司,60,5.2,91.8,0,26.4,46.8,18.6
2015/6/22,楚天激光集团股份有限公司,1000,6.2,490,0,130,240,120
2015/6/22,楚天激光集团股份有限公司,100,5.2,54,0,15,38,1
2015/6/22,楚天激光集团股份有限公司,60,5.2,81.6,0,25.2,42,14.4
2015/6/23,楚天激光集团股份有限公司,1000,6.2,2570,0,620,1720,240
2015/6/23,楚天激光集团股份有限公司,100,5.2,61,0,21,37,3
2015/6/23,楚天激光集团股份有限公司,60,5.2,167.4,0,49.8,96,21.6
2015/6/24,楚天激光集团股份有限公司,1000,6.2,2890,0,770,1850,270
2015/6/24,楚天激光集团股份有限公司,100,5.2,184,0,126,53,5
2015/6/24,楚天激光集团股份有限公司,60,5.2,191.4,0,59.4,103.8,28.2
2015/6/25,楚天激光集团股份有限公司,1000,6.2,3180,0,770,2110,280
2015/6/25,楚天激光集团股份有限公司,100,5.2,302,0,100,197,5
2015/6/25,楚天激光集团股份有限公司,60,5.2,186.6,0,49.2,100.2,37.2
2015/6/26,楚天激光集团股份有限公司,1000,6.2,2980,0,740,1960,290
2015/6/26,楚天激光集团股份有限公司,100,5.2,329,0,111,213,5
2015/6/26,楚天激光集团股份有限公司,60,5.2,180.6,0,52.2,96,32.4
2015/6/27,楚天激光集团股份有限公司,1000,6.2,2540,0,560,1750,220
2015/6/27,楚天激光集团股份有限公司,100,5.2,101,0,22,64,15
2015/6/27,楚天激光集团股份有限公司,60,5.2,169.2,0,45,91.2,33
2015/6/28,楚天激光集团股份有限公司,1000,6.2,2170,0,470,1380,330
2015/6/28,楚天激光集团股份有限公司,100,5.2,65,0,22,37,6
2015/6/28,楚天激光集团股份有限公司,60,5.2,135,0,39.6,66,29.4
2015/6/29,楚天激光集团股份有限公司,1000,6.2,3200,0,760,2090,340
2015/6/29,楚天激光集团股份有限公司,100,5.2,193,0,65,113,15
2015/6/29,楚天激光集团股份有限公司,60,5.2,210.6,0,61.2,111.6,37.8
2015/6/30,楚天激光集团股份有限公司,1000,6.2,2710,0,640,1760,320
2015/6/30,楚天激光集团股份有限公司,100,5.2,67,0,22,42,3
2015/6/30,楚天激光集团股份有限公司,60,5.2,181.2,0,48,96,37.2
2015/7/1,楚天激光集团股份有限公司,1000,6.2,2940,0,680,1980,290
2015/7/1,楚天激光集团股份有限公司,100,5.2,66,0,22,36,8
2015/7/1,楚天激光集团股份有限公司,60,5.2,165,0,49.2,87.6,28.2
2015/7/2,楚天激光集团股份有限公司,1000,6.2,3860,0,1090,2330,430
2015/7/2,楚天激光集团股份有限公司,100,5.2,60,0,23,33,4
2015/7/2,楚天激光集团股份有限公司,60,5.2,178.8,0,51.6,95.4,31.8
2015/7/3,楚天激光集团股份有限公司,1000,6.2,3630,0,770,2110,760
2015/7/3,楚天激光集团股份有限公司,100,5.2,59,0,18,37,4
2015/7/3,楚天激光集团股份有限公司,60,5.2,181.8,0,51,100.8,30
2015/7/4,楚天激光集团股份有限公司,1000,6.2,1670,0,450,1050,160
2015/7/4,楚天激光集团股份有限公司,100,5.2,324,0,108,211,5
2015/7/4,楚天激光集团股份有限公司,60,5.2,126.6,0,31.8,67.2,27.6
2015/7/5,楚天激光集团股份有限公司,1000,6.2,570,0,170,250,150
2015/7/5,楚天激光集团股份有限公司,100,5.2,84,0,43,39,2
2015/7/5,楚天激光集团股份有限公司,60,5.2,98.4,0,29.4,48.6,20.4
2015/7/6,楚天激光集团股份有限公司,1000,6.2,2450,0,580,1630,240
2015/7/6,楚天激光集团股份有限公司,100,5.2,59,0,19,37,3
2015/7/6,楚天激光集团股份有限公司,60,5.2,157.8,0,44.4,90,23.4
2015/7/7,楚天激光集团股份有限公司,1000,6.2,2180,0,510,1460,210
2015/7/7,楚天激光集团股份有限公司,100,5.2,58,0,17,38,3
2015/7/7,楚天激光集团股份有限公司,60,5.2,146.4,0,42.6,85.2,18.6
2015/7/8,楚天激光集团股份有限公司,1000,6.2,2470,0,590,1640,240
2015/7/8,楚天激光集团股份有限公司,100,5.2,63,0,20,38,5
2015/7/8,楚天激光集团股份有限公司,60,5.2,148.2,0,43.8,84.6,19.8
2015/7/9,楚天激光集团股份有限公司,1000,6.2,2360,0,570,1540,250
2015/7/9,楚天激光集团股份有限公司,100,5.2,69,0,30,34,5
2015/7/9,楚天激光集团股份有限公司,60,5.2,150.6,0,43.8,85.8,21
2015/7/10,楚天激光集团股份有限公司,1000,6.2,2900,0,750,1880,270
2015/7/10,楚天激光集团股份有限公司,100,5.2,218,0,109,106,3
2015/7/10,楚天激光集团股份有限公司,60,5.2,157.8,0,43.8,93,21
2015/7/11,楚天激光集团股份有限公司,1000,6.2,2220,0,570,1510,150
2015/7/11,楚天激光集团股份有限公司,100,5.2,337,0,101,215,21
2015/7/11,楚天激光集团股份有限公司,60,5.2,144,0,40.2,83.4,20.4
2015/7/12,楚天激光集团股份有限公司,1000,6.2,1670,0,400,1050,210
2015/7/12,楚天激光集团股份有限公司,100,5.2,314,0,98,210,6
2015/7/12,楚天激光集团股份有限公司,60,5.2,142.2,0,40.8,75,26.4
2015/7/13,楚天激光集团股份有限公司,1000,6.2,3670,0,900,2490,290
2015/7/13,楚天激光集团股份有限公司,100,5.2,299,0,98,196,5
2015/7/13,楚天激光集团股份有限公司,60,5.2,213,0,63,111.6,38.4
2015/7/14,楚天激光集团股份有限公司,1000,6.2,3950,0,940,2660,350
2015/7/14,楚天激光集团股份有限公司,100,5.2,324,0,98,222,4
2015/7/14,楚天激光集团股份有限公司,60,5.2,217.8,0,62.4,113.4,42
2015/7/15,楚天激光集团股份有限公司,1000,6.2,3820,0,970,2480,360
2015/7/15,楚天激光集团股份有限公司,100,5.2,389,0,137,228,24
2015/7/15,楚天激光集团股份有限公司,60,5.2,223.2,0,66,118.8,38.4
2015/7/16,楚天激光集团股份有限公司,1000,6.2,2780,0,710,1800,270
2015/7/16,楚天激光集团股份有限公司,100,5.2,295,0,116,172,7
2015/7/16,楚天激光集团股份有限公司,60,5.2,163.8,0,45,90,28.8
2015/7/17,楚天激光集团股份有限公司,1000,6.2,2720,0,690,1770,270
