month,date,hour,peak_flat_valley,power_num,id,lstm
7,4,14,2,12637,40641,0.0
7,4,15,2,11749,40642,0.0
7,4,16,2,12584,40643,0.0
7,4,17,1,12804,40644,0.0
7,4,18,1,12103,40645,0.0
7,4,19,2,11482,40646,0.0
7,4,20,2,11723,40647,0.0
7,4,21,2,11806,40648,0.0
7,4,22,1,11839,40649,0.0
7,4,23,1,11708,40650,0.0
7,5,0,0,11627,40651,0.0
7,5,1,0,11905,40652,0.0
7,5,2,0,11973,40653,0.0
7,5,3,0,11788,40654,0.0
7,5,4,0,11784,40655,0.0
7,5,5,0,11741,40656,0.0
7,5,6,0,11709,40657,0.0
7,5,7,0,10281,40658,0.0
7,5,8,1,9232,40659,0.0
7,5,9,1,8858,40660,0.0
7,5,10,1,9090,40661,0.0
7,5,11,1,8879,40662,0.0
7,5,12,1,9009,40663,0.0
7,5,13,1,9064,40664,0.0
7,5,14,2,10597,40665,0.0
7,5,15,2,10987,40666,0.0
7,5,16,2,12397,40667,0.0
7,5,17,1,12515,40668,0.0
7,5,18,1,12685,40669,0.0
7,5,19,2,12372,40670,0.0
7,5,20,2,12302,40671,0.0
7,5,21,2,12973,40672,0.0
7,5,22,1,12532,40673,0.0
7,5,23,1,11940,40674,0.0
7,6,0,0,11410,40675,0.0
7,6,1,0,11828,40676,0.0
7,6,2,0,12577,40677,0.0
7,6,3,0,12888,40678,0.0
7,6,4,0,13037,40679,0.0
7,6,5,0,12399,40680,0.0
7,6,6,0,11415,40681,0.0
7,6,7,0,10734,40682,0.0
7,6,8,1,11003,40683,0.0
7,6,9,1,11126,40684,0.0
7,6,10,1,10763,40685,0.0
7,6,11,1,12374,40686,0.0
7,6,12,1,13696,40687,0.0
7,6,13,1,13151,40688,0.0
7,6,14,2,13524,40689,0.0
7,6,15,2,14338,40690,0.0
7,6,16,2,14982,40691,0.0
7,6,17,1,14602,40692,0.0
7,6,18,1,14681,40693,0.0
7,6,19,2,12786,40694,0.0
7,6,20,2,13354,40695,0.0
7,6,21,2,14230,40696,0.0
7,6,22,1,14026,40697,0.0
7,6,23,1,14342,40698,0.0
7,7,0,0,13974,40699,0.0
7,7,1,0,13973,40700,0.0
7,7,2,0,14139,40701,0.0
7,7,3,0,13876,40702,0.0
7,7,4,0,13901,40703,0.0
7,7,5,0,14258,40704,0.0
7,7,6,0,14053,40705,0.0
7,7,7,0,13104,40706,0.0
7,7,8,1,12635,40707,0.0
7,7,9,1,11693,40708,0.0
7,7,10,1,11032,40709,0.0
7,7,11,1,10436,40710,0.0
7,7,12,1,10948,40711,0.0
7,7,13,1,11908,40712,0.0
7,7,14,2,12501,40713,0.0
7,7,15,2,12800,40714,0.0
7,7,16,2,13933,40715,0.0
7,7,17,1,14414,40716,0.0
7,7,18,1,14659,40717,0.0
7,7,19,2,14609,40718,0.0
7,7,20,2,14091,40719,0.0
7,7,21,2,13157,40720,0.0
7,7,22,1,13037,40721,0.0
7,7,23,1,12590,40722,0.0
7,8,0,0,12318,40723,0.0
7,8,1,0,13458,40724,0.0
7,8,2,0,13627,40725,0.0
7,8,3,0,13986,40726,0.0
