数据日期,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2013/2/10,分表０１,有功功率,5.262,7.65,7.656,5.976,4.584,4.452,8.844,1.446,3.66,3.318,0.918,0.996,1.596,0.93,0.93,0.9,0.894,0.918,1.656,4.464,4.032,4.044,8.172,7.536,500,高供高计,60,常青营业一班
2013/2/10,分表０１,无功功率,0,3,3.6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,500,高供高计,60,常青营业一班
2013/2/11,分表０１,有功功率,5.076,4.998,5.136,9.282,7.044,9.594,9.096,3.408,3.348,3.114,3.474,3.516,3.654,1.2,1.398,0.906,3.57,4.146,3.54,5.256,4.77,4.914,5.304,8.352,500,高供高计,60,常青营业一班
2013/2/11,分表０１,无功功率,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,500,高供高计,60,常青营业一班
2013/2/12,分表０１,有功功率,5.838,6.36,5.544,5.49,5.37,9.774,5.43,5.34,3.15,2.916,0.882,0.996,0.912,0.99,1.002,0.99,1.758,3.51,3.48,4.05,4.056,4.008,7.362,5.292,500,高供高计,60,常青营业一班
2013/2/12,分表０１,无功功率,2.4,2.4,3,3,3,2.4,3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,500,高供高计,60,常青营业一班
2013/2/13,分表０１,有功功率,5.442,4.83,5.796,5.016,4.686,8.964,8.328,3.156,3.27,3.576,0.996,0.912,3.39,0.984,3.66,3.618,3.582,3.63,3.612,3.624,4.608,7.896,8.754,6.21,500,高供高计,60,常青营业一班
2013/2/13,分表０１,无功功率,3,3,3.6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,500,高供高计,60,常青营业一班
2013/2/14,分表０１,有功功率,4.584,5.022,5.142,4.914,4.86,9.138,5.298,1.056,3.528,3.618,4.17,3.594,3.684,4.218,0.906,3.648,3.024,0.9,3.588,4.41,4.914,4.836,9.09,8.118,500,高供高计,60,常青营业一班
2013/2/14,分表０１,无功功率,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,500,高供高计,60,常青营业一班
2013/2/15,分表０１,有功功率,5.49,5.868,10.638,5.502,10.026,5.43,5.904,9.684,3.378,4.02,0.888,1.482,2.112,0.918,0.918,0.99,1.008,0.924,3.054,4.11,4.044,4.014,4.062,4.446,500,高供高计,60,常青营业一班
