数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/5/2,武汉金运激光股份有限公司,500,001086,60,5.2,,,,,
2013/5/3,武汉金运激光股份有限公司,500,001086,60,5.2,1229.94,0,505.79,703.21,21
2013/5/4,武汉金运激光股份有限公司,500,001086,60,5.2,1994.41,0,491.99,795.58,706.78
2013/5/5,武汉金运激光股份有限公司,500,001086,60,5.2,555.05,0,9.61,15.61,529.8
2013/5/6,武汉金运激光股份有限公司,500,001086,60,5.2,1187.87,0,492.59,674.38,21
2013/5/7,武汉金运激光股份有限公司,500,001086,60,5.2,2140.25,0,562.19,852.59,725.39
2013/5/8,武汉金运激光股份有限公司,500,001086,60,5.2,2095.84,0,500.4,825.61,769.8
2013/5/9,武汉金运激光股份有限公司,500,001086,60,5.2,1948.18,0,506.39,761.98,679.8
2013/5/10,武汉金运激光股份有限公司,500,001086,60,5.2,2005.78,0,483.6,766.81,755.39
2013/5/11,武汉金运激光股份有限公司,500,001086,60,5.2,1766.42,0,401.99,675,689.41
2013/5/12,武汉金运激光股份有限公司,500,001086,60,5.2,438.63,0,8.99,15.58,413.99
2013/5/13,武汉金运激光股份有限公司,500,001086,60,5.2,128.32,0,8.41,103.79,16.2
2013/5/14,武汉金运激光股份有限公司,500,001086,60,5.2,996.03,0,364.8,611.39,19.8
2013/5/15,武汉金运激光股份有限公司,500,001086,60,5.2,1623.63,0,410.39,723.01,490.19
2013/5/16,武汉金运激光股份有限公司,500,001086,60,5.2,1870.19,0,499.8,771.59,598.79
2013/5/17,武汉金运激光股份有限公司,500,001086,60,5.2,1874.35,0,394.2,795,685.19
2013/5/18,武汉金运激光股份有限公司,500,001086,60,5.2,2009.41,0,496.2,865.81,647.4
2013/5/19,武汉金运激光股份有限公司,500,001086,60,5.2,550.84,0,22.19,34.19,494.41
2013/5/20,武汉金运激光股份有限公司,500,001086,60,5.2,1317.59,0,538.19,746.39,32.99
2013/5/21,武汉金运激光股份有限公司,500,001086,60,5.2,2024.35,0,466.8,763.79,793.79
2013/5/22,武汉金运激光股份有限公司,500,001086,60,5.2,2008.76,0,473.41,767.4,767.99
2013/5/23,武汉金运激光股份有限公司,500,001086,60,5.2,1892.46,0,512.38,772.21,607.82
2013/5/24,武汉金运激光股份有限公司,500,001086,60,5.2,1971.56,0,492.61,767.4,711.59
2013/5/25,武汉金运激光股份有限公司,500,001086,60,5.2,1918.82,0,470.39,781.2,667.21
2013/5/26,武汉金运激光股份有限公司,500,001086,60,5.2,516.56,0,10.79,38.99,466.78
