real,pred
14698.427,14809.206307752658
14714.776,14806.78525771069
14694.736,14765.08567707493
15263.89,15298.239134933634
16271.071,16231.169672834949
16466.244,16390.420148920242
15852.411,15890.259193179132
14719.886,14783.067836756527
14600.782,14614.119703945587
14665.186,14621.251482074884
14750.885,14648.8131159312
14848.208,14687.650580525897
14827.313,14332.227243380239
15712.324,15119.725980929075
15241.953,14631.551189646874
16722.68,16242.212623773821
17534.09,16930.824938602524
17913.926,16955.785774339627
17635.592,16666.75111717711
17572.887,16567.995375647122
18293.793,17401.82844632152
17951.924,17043.05016699787
17575.768,17365.49705993602
17906.418,17646.670323509825
17891.742,17643.905337077307
17217.754,17081.258196817427
17018.918,16903.546545910274
17605.31,17403.55711802433
16513.951,16423.556983375318
14519.849,14477.035223126502
13336.825,13456.019544241708
12419.286,12471.513519496142
12022.837,12011.03508382354
12653.561,12596.938116551473
12876.192,12766.962075000763
12018.621,11859.442319634032
13166.912,12680.984994893399
13509.537,12966.917639692325
13906.192,13304.307936002078
13575.623,13216.40873967682
13750.838,13343.813867973253
13531.567,12822.906349936695
14504.347,13706.797448625519
16222.797,15273.821206456445
17478.908,16626.47112619058
18395.533,17393.66182128912
18088.072,17745.003940076385
18070.162,17744.887634864695
18381.076,18003.802332907635
18101.6,17786.325162956407
17950.385,17663.517714321562
18392.873,18026.54317887672
18322.307,17964.889492925606
16884.65,16706.481017325375
14613.371,14671.434727986738
13059.538,13090.776233410927
12770.955,12742.277343269596
13053.98,12969.325750811788
12919.935,12780.271675180507
12955.14,12762.84865126439
13182.795,12652.930393481744
14206.167,13594.500247296974
15535.35,14807.851608395624
16157.435,15636.163780803105
16490.535,15891.695279989319
16641.53,15694.44031166736
16755.922,15754.098729565858
17414.523,16309.521507785834
18860.61,17810.887604460997
19433.885,18255.13519529447
19780.37,18983.065722997093
20116.838,19249.665105586802
20106.605,19266.836409654625
20215.545,19366.135466922442
20089.375,19292.293108384405
19805.97,19094.795721964154
19300.576,18713.317664364386
18500.543,18066.756994259667
17782.86,17449.997313439428
15557.953,15469.468949105556
15913.55,15745.170734599751
16487.566,16216.372128736783
16257.091,15956.865969084212
17144.244,16706.668772805715
17915.193,16969.54773373798
18182.49,17164.93803257421
19379.854,18126.65814377195
19998.537,18957.740220069685
20369.043,19219.12960331445
20804.436,19196.494847136997
20773.312,19152.265370833626
20952.574,19271.06830690421
20557.514,19204.586007302663
