month,date,hour,peak_flat_valley,power_num,price
5,10,20,3,14063.272,7619.481
5,10,21,3,13979.594,12054.604
5,10,22,3,13739.162,11847.279
5,10,23,2,14136.193,12189.639
5,10,24,2,13938.901,7552.097
5,11,1,1,13564.519,7349.256
5,11,2,1,12602.527,3106.523
5,11,3,1,12636.88,3114.991
5,11,4,1,12771.001,3148.052
5,11,5,1,13396.729,3302.294
5,11,6,1,14028.449,3458.013
5,11,7,1,14061.694,3466.208
5,11,8,1,13134.141,3237.566
5,11,9,2,12473.337,3074.678
5,11,10,2,10974.385,5945.922
5,11,11,2,10937.214,5925.783
5,11,12,2,11310.479,6128.018
5,11,13,2,11410.596,6182.261
5,11,14,2,10330.623,5597.131
5,11,15,3,11394.98,6173.8
5,11,16,3,11675.296,10067.608
5,11,17,3,12625.396,10886.879
5,11,18,2,13743.186,11850.75
5,11,19,2,14181.541,7683.559
5,11,20,3,14050.031,7612.307
5,11,21,3,14214.417,12257.092
5,11,22,3,14079.687,12140.914
5,11,23,2,14058.132,12122.327
5,11,24,2,14258.797,7725.416
5,12,1,1,14089.278,7633.571
5,12,2,1,14171.218,3493.205
5,12,3,1,13960.862,3441.353
5,12,4,1,14422.944,3555.256
5,12,5,1,13904.778,3427.528
5,12,6,1,13984.404,3447.156
5,12,7,1,14047.409,3462.686
5,12,8,1,14031.449,3458.752
5,12,9,2,13387.915,3300.121
5,12,10,2,13186.229,7144.299
5,12,11,2,12350.698,6691.608
5,12,12,2,12077.293,6543.477
5,12,13,2,10907.427,5909.644
5,12,14,2,11438.977,6197.638
5,12,15,3,11999.179,6501.155
5,12,16,3,11168.515,9630.61
5,12,17,3,10498.157,9052.561
5,12,18,2,11030.872,9511.921
5,12,19,2,11643.208,6308.29
5,12,20,3,11414.139,6184.181
5,12,21,3,11605.906,10007.772
5,12,22,3,11525.703,9938.614
5,12,23,2,11928.373,10285.836
5,12,24,2,12309.131,6669.087
5,13,1,1,12248.564,6636.272
5,13,2,1,12832.234,3163.146
5,13,3,1,12712.172,3133.55
5,13,4,1,12454.84,3070.118
5,13,5,1,12752.145,3143.404
5,13,6,1,12799.769,3155.143
5,13,7,1,12246.79,3018.834
5,13,8,1,11293.832,2783.93
5,13,9,2,11538.22,2844.171
5,13,10,2,12595.866,6824.44
5,13,11,2,12595.536,6824.262
5,13,12,2,12729.673,6896.937
5,13,13,2,12779.085,6923.708
5,13,14,2,13854.297,7506.258
5,13,15,3,13736.886,7442.645
5,13,16,3,14122.59,12177.909
5,13,17,3,14607.74,12596.255
5,13,18,2,15323.407,13213.374
5,13,19,2,15136.39,8200.896
5,13,20,3,15105.409,8184.111
5,13,21,3,14879.807,12830.857
5,13,22,3,15503.819,13368.943
5,13,23,2,15614.93,13464.754
5,13,24,2,15949.047,8641.194
5,14,1,1,15351.853,8317.634
5,14,2,1,15746.061,3881.404
5,14,3,1,15662.296,3860.756
5,14,4,1,16018.318,3948.515
5,14,5,1,14897.189,3672.157
5,14,6,1,14173.541,3493.778
5,14,7,1,14454.224,3562.966
5,14,8,1,13667.88,3369.132
5,14,9,2,13238.306,3263.242
5,14,10,2,13064.853,7078.538
5,14,11,2,12088.442,6549.518
5,14,12,2,12544.513,6796.617
5,14,13,2,13044.751,7067.646
5,14,14,2,14141.166,7661.684
5,14,15,3,13385.326,7252.17
5,14,16,3,13831.436,11926.847
5,14,17,3,14879.268,12830.393
5,14,18,2,15075.029,12999.197
5,14,19,2,15504.987,8400.602
5,14,20,3,15498.32,8396.99
5,14,21,3,15057.374,12983.974
5,14,22,3,14739.73,12710.069
5,14,23,2,15252.908,13152.582
5,14,24,2,15123.598,8193.965
5,15,1,1,14720.809,7975.734
5,15,2,1,13996.07,3450.031
5,15,3,1,13293.695,3276.896
5,15,4,1,13706.673,3378.695
5,15,5,1,13657.741,3366.633
5,15,6,1,14653.868,3612.178
5,15,7,1,14401.251,3549.908
5,15,8,1,14138.247,3485.078
5,15,9,2,13902.141,3426.878
5,15,10,2,13166.082,7133.383
5,15,11,2,12900.6,6989.545
5,15,12,2,13090.106,7092.219
5,15,13,2,13726.613,7437.079
5,15,14,2,14399.594,7801.7
5,15,15,3,14214.147,7701.225
5,15,16,3,14412.924,12428.264
5,15,17,3,14865.899,12818.865
5,15,18,2,15238.026,13139.75
5,15,19,2,15558.843,8429.781
5,15,20,3,15603.498,8453.975
5,15,21,3,15554.914,13413.002
5,15,22,3,13958.775,12036.652
5,15,23,2,13423.928,11575.453
5,15,24,2,13838.542,7497.722
5,16,1,1,14038.914,7606.284
5,16,2,1,14755.783,3637.301
5,16,3,1,15327.043,3778.116
5,16,4,1,14992.535,3695.66
5,16,5,1,15145.922,3733.47
5,16,6,1,14916.425,3676.899
5,16,7,1,14651.22,3611.526
5,16,8,1,13799.669,3401.618
5,16,9,2,14132.742,3483.721
5,16,10,2,13245.603,7176.468
5,16,11,2,12175.811,6596.855
5,16,12,2,11939.753,6468.958
5,16,13,2,11923.595,6460.204
5,16,14,2,12431.884,6735.595
5,16,15,3,12970.256,7027.285
5,16,16,3,12357.883,10656.202
5,16,17,3,13003.303,11212.748
5,16,18,2,13762.759,11867.627
5,16,19,2,14677.591,7952.319
5,16,20,3,13312.426,7212.673
5,16,21,3,13141.75,11332.131
5,16,22,3,13501.933,11642.717
5,16,23,2,13021.083,11228.08
5,16,24,2,12537.27,6792.693
5,17,1,1,12718.741,6891.014
5,17,2,1,12711.201,3133.311
5,17,3,1,12844.563,3166.185
5,17,4,1,13389.246,3300.449
5,17,5,1,12878.932,3174.657
5,17,6,1,12760.697,3145.512
5,17,7,1,12612.594,3109.004
5,17,8,1,11359.484,2800.113
5,17,9,2,11404.266,2811.152
5,17,10,2,10733.694,5815.515
5,17,11,2,10966.212,5941.494
5,17,12,2,10876.565,5892.923
5,17,13,2,10862.768,5885.448
5,17,14,2,10315.263,5588.81
5,17,15,3,10553.735,5718.014
5,17,16,3,11473.705,9893.776
5,17,17,3,11646.022,10042.364
5,17,18,2,13749.987,11856.614
5,17,19,2,14647.999,7936.286
5,17,20,3,14509.688,7861.349
5,17,21,3,14175.614,12223.632
5,17,22,3,14570.42,12564.073
5,17,23,2,14866.781,12819.625
5,17,24,2,14862.991,8052.769
5,18,1,1,14606.678,7913.898
5,18,2,1,14659.054,3613.457
5,18,3,1,13889.582,3423.782
5,18,4,1,14299.554,3524.84
5,18,5,1,14771.888,3641.27
5,18,6,1,15178.188,3741.423
5,18,7,1,14864.787,3664.17
5,18,8,1,14613.668,3602.269
5,18,9,2,14076.16,3469.774
5,18,10,2,14625.441,7924.064
5,18,11,2,14357.347,7778.811
5,18,12,2,13488.183,7307.898
5,18,13,2,14122.917,7651.796
5,18,14,2,14334.408,7766.383
5,18,15,3,15088.828,8175.127
5,18,16,3,15677.37,13518.596
5,18,17,3,16114.288,13895.35
5,18,18,2,16795.398,14482.671
5,18,19,2,17108.505,9269.388
5,18,20,3,16416.683,8894.559
5,18,21,3,16143.372,13920.43
5,18,22,3,16541.662,14263.875
5,18,23,2,16635.999,14345.222
5,18,24,2,16633.248,9011.894
5,19,1,1,16415.614,8893.98
5,19,2,1,16459.068,4057.16
5,19,3,1,16451.886,4055.39
5,19,4,1,16611.526,4094.741
5,19,5,1,16649.034,4103.987
5,19,6,1,14998.269,3697.073
5,19,7,1,14678.205,3618.178
5,19,8,1,14249.09,3512.401
5,19,9,2,13433.816,3311.436
5,19,10,2,13319.339,7216.418
5,19,11,2,15201.23,8236.026
5,19,12,2,15145.777,8205.982
5,19,13,2,15337.509,8309.862
5,19,14,2,15036.593,8146.826
5,19,15,3,14406.187,7805.272
5,19,16,3,15466.111,13336.427
5,19,17,3,16208.088,13976.235
5,19,18,2,16637.503,14346.519
5,19,19,2,16812.412,9108.965
5,19,20,3,16430.295,8901.934
5,19,21,3,15911.907,13720.837
5,19,22,3,16419.214,14158.288
5,19,23,2,16927.746,14596.795
5,19,24,2,16758.967,9080.009
5,20,1,1,16626.349,9008.156
5,20,2,1,16613.433,4095.211
5,20,3,1,16746.159,4127.928
5,20,4,1,16874.763,4159.629
5,20,5,1,16919.751,4170.719
5,20,6,1,16452.558,4055.555
5,20,7,1,15990.82,3941.737
5,20,8,1,14984.604,3693.705
5,20,9,2,14087.515,3472.573
5,20,10,2,12555.975,6802.827
5,20,11,2,11381.9,6166.713
5,20,12,2,11008.087,5964.182
5,20,13,2,11164.265,6048.799
5,20,14,2,11495.028,6228.006
5,20,15,3,12211.159,6616.006
5,20,16,3,13278.107,11449.711
5,20,17,3,13647.664,11768.381
5,20,18,2,14703.315,12678.669
5,20,19,2,15075.812,8168.075
5,20,20,3,15357.13,8320.493
5,20,21,3,14636.997,12621.482
5,20,22,3,14276.331,12310.48
5,20,23,2,14205.384,12249.303
5,20,24,2,14689.242,7958.631
5,21,1,1,14585.291,7902.31
5,21,2,1,14887.367,3669.736
5,21,3,1,15066.59,3713.914
5,21,4,1,14869.043,3665.219
5,21,5,1,15577.129,3839.762
5,21,6,1,15315.669,3775.312
5,21,7,1,15706.234,3871.587
5,21,8,1,15177.14,3741.165
5,21,9,2,15607.756,3847.312
5,21,10,2,15551.363,8425.728
5,21,11,2,15873.047,8600.017
5,21,12,2,16305.194,8834.154
5,21,13,2,15975.379,8655.46
5,21,14,2,16126.713,8737.453
5,21,15,3,17226.473,9333.303
5,21,16,3,17105.813,14750.342
5,21,17,3,17505.889,15095.328
5,21,18,2,17644.62,15214.955
5,21,19,2,18564.348,10058.164
5,21,20,3,18448.191,9995.23
5,21,21,3,18023.341,15541.527
5,21,22,3,17690.069,15254.147
5,21,23,2,18374.58,15844.4
5,21,24,2,18189.029,9854.816
5,22,1,1,17815.142,9652.244
5,22,2,1,18169.195,4478.707
5,22,3,1,18227.386,4493.051
5,22,4,1,18001.495,4437.368
5,22,5,1,17993.481,4435.393
5,22,6,1,18343.998,4521.796
5,22,7,1,17709.425,4365.373
5,22,8,1,16478.698,4061.999
5,22,9,2,14311.643,3527.82
5,22,10,2,13270.555,7189.987
5,22,11,2,12768.46,6917.951
5,22,12,2,12407.904,6722.603
5,22,13,2,11042.487,5982.82
