real,pred
16884.65,15279.318162884889
14613.371,13834.152830709436
13059.538,12667.22101112473
12770.955,12409.702765024978
13053.98,12601.174013378022
12919.935,12457.821856328395
12955.14,12450.05262157995
13182.795,12389.935538973821
14206.167,13223.359969855614
15535.35,14275.601880241285
16157.435,15027.662761152578
16490.535,15304.553213593179
16641.53,15299.87818681447
16755.922,15455.219658517583
17414.523,16010.531333063635
18860.61,17272.711187392157
19433.885,17750.33933550343
19780.37,16924.31167301212
20116.838,17077.18030140326
20106.605,17082.51775694185
20215.545,17144.751192821044
20089.375,17096.168584547067
19805.97,16962.172693390603
19300.576,16694.341416850028
18500.543,16226.143684067132
17782.86,15902.144533452958
15557.953,14470.482982620862
15913.55,14731.569953509845
16487.566,15151.046236017963
16257.091,15006.012815537335
17144.244,15660.35137671402
17915.193,15723.601684124631
18182.49,15995.407257069142
19379.854,16853.093799018807
19998.537,17777.04893749019
20369.043,18077.88645154723
20804.436,18037.270236060474
20773.312,18125.733845982137
20952.574,18338.953388854654
20557.514,18441.415936014564
20689.795,18590.54147020291
20820.982,18321.252380644277
21016.262,18431.89770707428
20189.703,18181.28426299729
20760.385,18440.10331671579
20792.768,18502.61359600016
19970.646,18200.25795696681
19387.686,17963.255027854386
19365.143,17971.437937249073
17008.451,15451.509138443087
15157.643,14422.753864454344
14542.434,14046.483164344554
15002.654,14324.3255694289
15884.855,14883.110099851767
15992.698,14955.340614416484
15222.041,13126.700684222966
16063.563,13749.875282901068
16736.734,14272.644716387294
17589.15,16076.62445202662
17464.088,15997.527967294282
16938.229,14649.630294418295
16433.994,14359.486607899265
16640.83,14570.402005697988
17122.455,15723.577729857743
17587.156,16092.717056240388
16715.691,16756.895212247917
16566.85,16657.284407528954
16105.476,16409.803965527663
15412.829,16025.734991922767
15763.972,16152.811869473091
16903.867,16696.39390107528
16705.314,16563.69431679433
16183.651,16239.864068903245
16358.959,15051.189925606635
16148.472,14958.930365350194
16316.247,15080.080627382706
15774.998,14763.075668934533
15955.824,14883.030088360912
14650.193,14011.761784077273
15515.132,13279.929706108253
16230.716,13821.39118782548
16503.158,14082.355231088357
16853.771,15509.261813400753
16689.117,15385.894800153232
17015.316,14665.581986449854
17301.07,14940.811326777364
17345.064,15045.410501532695
17143.984,15706.99392162885
17137.287,15689.38966384605
17125.693,16855.44331428213
17240.453,16878.381540977738
17591.488,17012.205338525968
17399.303,16911.2998376011
17272.127,16833.865922202214
17507.62,16932.429770594357
17193.785,16752.715614875964
16370.651,16273.251890191857
15268.682,14386.457364269398
13736.807,13467.127773288468
13442.047,13253.735549824858
14917.595,14172.640216046195
15158.363,14317.555823374381
13838.932,13405.422715523213
13477.887,11913.403825989419
14103.35,12381.319930251657
13761.569,12192.513909579322
14221.828,13504.99815866137
15424.201,14384.810612387233
15398.373,13484.100824147743
14860.032,13134.462510396577
15797.294,13874.030200589243
16247.584,14932.867358085929
16278.241,14932.109768179498
16022.856,16315.840730425783
16831.447,16630.76743679031
17130.07,16737.7617091425
17194.41,16746.27897842392
17370.602,16811.76376595867
17070.295,16641.389302968913
16723.91,16430.983546576048
16027.365,16003.20813765552
15239.317,14320.420716128949
13880.942,13503.241942401393
13581.389,13288.844731324827
13759.989,13371.641005604095
14123.629,13580.31116156711
14389.139,13729.86523564131
13918.001,12170.702580179955
15827.108,13483.186000307767
16335.905,13893.27064601269
16445.443,15119.513426520298
16952.965,15492.783257857942
17470.068,14895.999199743532
17831.2,15227.388954920809
18109.303,15504.767190968963
18260.926,16527.39628491594
18474.922,16711.77688874821
18072.531,17096.047935865507
18207.2,17145.40748237168
18280.39,17175.2951158113
18222.525,17149.709739541602
18257.738,17165.719392128532
18557.115,17311.147857928627
18265.64,17166.374591039956
