month,date,hour,peak_flat_valley,real,pred
8.0,1.0,11.0,2.0,14542.435,16422.715
8.0,1.0,12.0,2.0,15002.655,16048.316
8.0,1.0,13.0,2.0,15884.855,16062.8955
8.0,1.0,14.0,2.0,15992.698,16039.73
8.0,1.0,15.0,3.0,15222.04,15624.237
8.0,1.0,16.0,3.0,16063.563,15809.887
8.0,1.0,17.0,3.0,16736.734,16110.066
8.0,1.0,18.0,2.0,17589.15,16703.213
8.0,1.0,19.0,2.0,17464.088,16911.494
8.0,1.0,20.0,3.0,16938.229,16637.098
8.0,1.0,21.0,3.0,16433.994,16439.158
8.0,1.0,22.0,3.0,16640.83,16488.453
8.0,1.0,23.0,2.0,17122.455,16909.486
8.0,1.0,24.0,2.0,17587.156,17247.025
8.0,2.0,1.0,1.0,16715.691,17088.035
8.0,2.0,2.0,1.0,16566.85,16810.6
8.0,2.0,3.0,1.0,16105.477,16448.484
8.0,2.0,4.0,1.0,15412.829,16010.422
8.0,2.0,5.0,1.0,15763.972,15852.397
8.0,2.0,6.0,1.0,16903.867,16051.902
8.0,2.0,7.0,1.0,16705.314,16063.261
8.0,2.0,8.0,1.0,16183.652,15936.798
8.0,2.0,9.0,2.0,16358.959,15816.362
8.0,2.0,10.0,2.0,16148.472,15752.187
8.0,2.0,11.0,2.0,16316.246,15806.111
8.0,2.0,12.0,2.0,15774.998,15688.638
8.0,2.0,13.0,2.0,15955.824,15732.687
8.0,2.0,14.0,2.0,14650.193,15398.418
8.0,2.0,15.0,3.0,15515.132,15460.274
8.0,2.0,16.0,3.0,16230.717,15757.16
8.0,2.0,17.0,3.0,16503.158,15981.166
8.0,2.0,18.0,2.0,16853.771,16377.968
8.0,2.0,19.0,2.0,16689.117,16482.695
8.0,2.0,20.0,3.0,17015.316,16490.918
8.0,2.0,21.0,3.0,17301.07,16681.918
8.0,2.0,22.0,3.0,17345.064,16816.785
8.0,2.0,23.0,2.0,17143.984,17060.102
8.0,2.0,24.0,2.0,17137.287,17163.621
8.0,3.0,1.0,1.0,17125.693,17202.264
8.0,3.0,2.0,1.0,17240.453,17086.834
8.0,3.0,3.0,1.0,17591.488,17079.73
8.0,3.0,4.0,1.0,17399.303,16980.125
8.0,3.0,5.0,1.0,17272.127,16881.086
8.0,3.0,6.0,1.0,17507.62,16906.6
8.0,3.0,7.0,1.0,17193.785,16816.633
8.0,3.0,8.0,1.0,16370.651,16518.31
8.0,3.0,9.0,2.0,15268.682,15849.52
8.0,3.0,10.0,2.0,13736.807,15207.463
8.0,3.0,11.0,2.0,13442.047,14932.562
8.0,3.0,12.0,2.0,14917.596,15178.731
8.0,3.0,13.0,2.0,15158.363,15301.812
8.0,3.0,14.0,2.0,13838.933,15028.157
8.0,3.0,15.0,3.0,13477.887,14845.606
8.0,3.0,16.0,3.0,14103.351,15037.053
8.0,3.0,17.0,3.0,13761.57,15039.272
8.0,3.0,18.0,2.0,14221.828,15269.536
8.0,3.0,19.0,2.0,15424.201,15650.333
8.0,3.0,20.0,3.0,15398.373,15646.66
8.0,3.0,21.0,3.0,14860.032,15569.644
8.0,3.0,22.0,3.0,15797.294,15908.542
8.0,3.0,23.0,2.0,16247.585,16349.922
8.0,3.0,24.0,2.0,16278.241,16507.617
8.0,4.0,1.0,1.0,16022.857,16463.25
8.0,4.0,2.0,1.0,16831.447,16495.055
8.0,4.0,3.0,1.0,17130.07,16515.793
8.0,4.0,4.0,1.0,17194.41,16519.938
8.0,4.0,5.0,1.0,17370.602,16578.705
8.0,4.0,6.0,1.0,17070.295,16522.162
8.0,4.0,7.0,1.0,16723.91,16406.027
8.0,4.0,8.0,1.0,16027.364,16149.264
8.0,4.0,9.0,2.0,15239.317,15642.84
8.0,4.0,10.0,2.0,13880.943,15133.682
8.0,4.0,11.0,2.0,13581.389,14917.788
8.0,4.0,12.0,2.0,13759.99,14893.666
8.0,4.0,13.0,2.0,14123.629,14973.453
8.0,4.0,14.0,2.0,14389.14,15075.248
8.0,4.0,15.0,3.0,13918.002,14945.423
8.0,4.0,16.0,3.0,15827.108,15522.985
8.0,4.0,17.0,3.0,16335.906,15880.768
8.0,4.0,18.0,2.0,16445.443,16221.65
8.0,4.0,19.0,2.0,16952.965,16528.791
8.0,4.0,20.0,3.0,17470.068,16676.86
8.0,4.0,21.0,3.0,17831.2,16957.209
8.0,4.0,22.0,3.0,18109.303,17225.484
8.0,4.0,23.0,2.0,18260.926,17684.07
8.0,4.0,24.0,2.0,18474.922,17981.768
8.0,5.0,1.0,1.0,18072.531,18010.014
8.0,5.0,2.0,1.0,18207.2,17947.135
8.0,5.0,3.0,1.0,18280.39,17897.535
8.0,5.0,4.0,1.0,18222.525,17835.457
8.0,5.0,5.0,1.0,18257.738,17812.607
8.0,5.0,6.0,1.0,18557.115,17908.873
8.0,5.0,7.0,1.0,18265.64,17868.645
8.0,5.0,8.0,1.0,17037.326,17441.967
8.0,5.0,9.0,2.0,15476.147,16442.047
8.0,5.0,10.0,2.0,15472.788,16046.958
8.0,5.0,11.0,2.0,15347.178,15811.638
8.0,5.0,12.0,2.0,17419.818,16364.985
8.0,5.0,13.0,2.0,16289.726,16185.637
8.0,5.0,14.0,2.0,16409.242,16204.407
8.0,5.0,15.0,3.0,16781.797,16187.963
8.0,5.0,16.0,3.0,16550.676,16172.0
8.0,5.0,17.0,3.0,17793.92,16663.715
8.0,5.0,18.0,2.0,19056.322,17551.229
8.0,5.0,19.0,2.0,19696.387,18197.553
8.0,5.0,20.0,3.0,19163.727,18078.55
8.0,5.0,21.0,3.0,19135.22,18128.012
8.0,5.0,22.0,3.0,19150.186,18202.232
8.0,5.0,23.0,2.0,19061.27,18530.658
8.0,5.0,24.0,2.0,19832.752,18984.441
8.0,6.0,1.0,1.0,19604.932,19167.678
8.0,6.0,2.0,1.0,20121.746,19361.71
8.0,6.0,3.0,1.0,19978.807,19418.205
8.0,6.0,4.0,1.0,19961.143,19472.76
8.0,6.0,5.0,1.0,19461.908,19364.299
8.0,6.0,6.0,1.0,19780.732,19437.904
8.0,6.0,7.0,1.0,19390.623,19354.24
8.0,6.0,8.0,1.0,18239.535,18937.098
8.0,6.0,9.0,2.0,16903.184,17894.223
8.0,6.0,10.0,2.0,17554.418,17630.92
8.0,6.0,11.0,2.0,16915.156,17183.22
8.0,6.0,12.0,2.0,16126.975,16665.477
8.0,6.0,13.0,2.0,16423.498,16533.25
8.0,6.0,14.0,2.0,16705.258,16550.463
8.0,6.0,15.0,3.0,15576.782,15949.861
8.0,6.0,16.0,3.0,16539.584,16155.459
8.0,6.0,17.0,3.0,18155.258,16827.752
8.0,6.0,18.0,2.0,19589.746,17845.623
8.0,6.0,19.0,2.0,19329.068,18210.396
8.0,6.0,20.0,3.0,18811.955,17963.467
8.0,6.0,21.0,3.0,18636.6,17884.39
8.0,6.0,22.0,3.0,18745.377,17934.018
8.0,6.0,23.0,2.0,18487.928,18169.314
8.0,6.0,24.0,2.0,18429.941,18253.951
8.0,7.0,1.0,1.0,17759.645,18112.83
8.0,7.0,2.0,1.0,17440.895,17791.332
8.0,7.0,3.0,1.0,17851.193,17703.826
8.0,7.0,4.0,1.0,17295.406,17411.543
8.0,7.0,5.0,1.0,16823.637,17081.55
8.0,7.0,6.0,1.0,16424.877,16759.143
8.0,7.0,7.0,1.0,15796.573,16372.526
8.0,7.0,8.0,1.0,15434.81,16060.45
8.0,7.0,9.0,2.0,13492.235,15201.369
8.0,7.0,10.0,2.0,12640.3,14796.077
8.0,7.0,11.0,2.0,13578.077,14901.072
8.0,7.0,12.0,2.0,12394.907,14666.51
8.0,7.0,13.0,2.0,13266.065,14821.356
8.0,7.0,14.0,2.0,13570.794,14936.448
8.0,7.0,15.0,3.0,12855.948,14761.256
8.0,7.0,16.0,3.0,12928.534,14848.274
8.0,7.0,17.0,3.0,14124.256,15221.274
8.0,7.0,18.0,2.0,15581.557,15846.981
8.0,7.0,19.0,2.0,16513.129,16300.18
8.0,7.0,20.0,3.0,15500.199,15919.266
8.0,7.0,21.0,3.0,15402.118,15875.54
8.0,7.0,22.0,3.0,15103.956,15820.502
8.0,7.0,23.0,2.0,14740.86,15891.45
8.0,7.0,24.0,2.0,13830.983,15610.641
8.0,8.0,1.0,1.0,13717.854,15499.865
8.0,8.0,2.0,1.0,13352.657,15143.589
8.0,8.0,3.0,1.0,13788.971,14998.737
8.0,8.0,4.0,1.0,13673.869,14841.466
8.0,8.0,5.0,1.0,13682.588,14746.148
8.0,8.0,6.0,1.0,13650.081,14683.108
8.0,8.0,7.0,1.0,13683.694,14661.203
8.0,8.0,8.0,1.0,12445.845,14432.158
8.0,8.0,9.0,2.0,11597.482,14257.101
8.0,8.0,10.0,2.0,10646.845,14177.556
8.0,8.0,11.0,2.0,10659.626,14233.445
8.0,8.0,12.0,2.0,11316.305,14382.499
8.0,8.0,13.0,2.0,11782.836,14507.345
8.0,8.0,14.0,2.0,11808.888,14552.655
8.0,8.0,15.0,3.0,11878.99,14571.809
8.0,8.0,16.0,3.0,12744.519,14846.558
8.0,8.0,17.0,3.0,12952.24,14975.592
8.0,8.0,18.0,2.0,13046.168,15121.947
8.0,8.0,19.0,2.0,13482.325,15228.473
8.0,8.0,20.0,3.0,13819.54,15237.453
8.0,8.0,21.0,3.0,13709.145,15280.195
8.0,8.0,22.0,3.0,13706.842,15339.441
8.0,8.0,23.0,2.0,13709.764,15506.903
8.0,8.0,24.0,2.0,13818.746,15550.623
8.0,9.0,1.0,1.0,13386.867,15420.094
8.0,9.0,2.0,1.0,13589.351,15185.652
