hour,peak_flat_valley,real,pred
20,3,19163.727,18639.908
21,3,19135.22,18644.916
22,3,19150.186,18641.852
23,2,19061.27,18718.182
24,2,19832.752,18918.441
1,1,19604.932,18749.889
2,1,20121.746,18807.768
3,1,19978.807,18790.047
4,1,19961.143,18765.375
5,1,19461.908,18646.146
6,1,19780.732,18640.32
7,1,19390.623,18549.033
8,1,18239.535,18225.977
9,2,16903.184,17360.4
10,2,17554.418,17042.178
11,2,16915.156,16649.44
12,2,16126.975,16146.902
13,2,16423.498,16016.688
14,2,16705.258,16106.788
15,3,15576.782,15764.955
16,3,16539.584,16105.826
17,3,18155.258,16948.943
18,2,19589.746,18055.688
19,2,19329.068,18554.557
20,3,18811.955,18463.416
21,3,18636.6,18354.045
22,3,18745.377,18339.568
23,2,18487.928,18351.223
24,2,18429.941,18256.754
1,1,17759.645,17773.94
2,1,17440.895,17515.508
3,1,17851.193,17516.744
4,1,17295.406,17342.428
5,1,16823.637,17054.969
6,1,16424.877,16700.408
7,1,15796.573,16211.441
8,1,15434.81,15742.919
9,2,13492.235,14700.741
10,2,12640.3,14255.259
11,2,13578.077,14563.638
12,2,12394.907,14551.471
13,2,13266.065,14847.214
14,2,13570.794,15063.409
15,3,12855.948,15149.382
16,3,12928.534,15281.431
17,3,14124.256,15614.423
18,2,15581.557,16052.578
19,2,16513.129,16561.291
20,3,15500.199,16462.547
21,3,15402.118,16387.857
22,3,15103.956,16262.503
23,2,14740.86,16102.622
24,2,13830.983,15804.86
1,1,13717.854,15323.59
2,1,13352.657,15261.921
3,1,13788.971,15334.134
4,1,13673.869,15295.598
5,1,13682.588,15212.109
6,1,13650.081,15063.026
7,1,13683.694,14897.768
8,1,12445.845,14403.209
9,2,11597.482,14149.417
10,2,10646.845,14122.756
11,2,10659.626,14303.541
12,2,11316.305,14535.855
13,2,11782.836,14731.525
14,2,11808.888,14847.613
15,3,11878.99,15065.706
16,3,12744.519,15302.748
17,3,12952.24,15435.995
18,2,13046.168,15442.33
19,2,13482.325,15554.132
20,3,13819.54,15735.207
21,3,13709.145,15768.003
22,3,13706.842,15797.107
23,2,13709.764,15774.681
24,2,13818.746,15804.319
1,1,13386.867,15367.472
2,1,13589.351,15463.251
3,1,13410.978,15424.328
4,1,13816.627,15472.617
5,1,13439.403,15303.243
6,1,13564.619,15143.967
7,1,13123.643,14803.059
8,1,12937.842,14510.401
9,2,12338.117,14305.138
10,2,12100.963,14318.497
11,2,12775.202,14575.059
12,2,12742.949,14731.642
13,2,11804.947,14706.425
14,2,11518.337,14759.133
15,3,11808.19,15009.514
16,3,12664.381,15258.758
17,3,13300.76,15474.93
18,2,13652.686,15555.387
19,2,13728.108,15620.062
20,3,14193.301,15823.018
21,3,14428.718,15942.584
22,3,15026.468,16142.952
23,2,15040.028,16196.313
24,2,14860.708,16171.273
1,1,14435.438,15713.043
2,1,14780.647,15880.941
3,1,14928.104,16035.09
4,1,14842.793,16073.399
5,1,14057.294,15745.538
6,1,14011.425,15401.816
7,1,13817.1,15004.47
8,1,13815.113,14724.864
9,2,14168.849,14721.928
10,2,13289.48,14565.879
11,2,14416.911,14911.086
12,2,14924.955,15239.3955
13,2,15022.001,15443.673
14,2,15319.168,15654.655
15,3,14882.34,15685.933
16,3,15270.584,15880.334
17,3,16166.519,16282.3545
18,2,17673.908,17037.197
19,2,17910.908,17566.465
20,3,18441.238,18027.553
21,3,18759.316,18414.62
22,3,18684.346,18579.797
23,2,18324.162,18605.27
24,2,18566.527,18604.865
1,1,17540.453,17945.627
2,1,17591.889,17700.055
3,1,17729.326,17617.27
4,1,17984.82,17628.71
5,1,18099.338,17649.398
6,1,18271.71,17695.242
7,1,18192.873,17689.42
8,1,17431.441,17446.729
9,2,17621.701,17103.918
10,2,16331.155,16471.777
11,2,16109.227,16029.561
12,2,15423.655,15572.174
13,2,15070.644,15295.69
14,2,15008.233,15252.129
15,3,15558.803,15557.038
16,3,16365.19,16066.994
17,3,17100.275,16611.86
18,2,15799.605,16405.441
19,2,16109.557,16413.576
20,3,15587.245,16250.624
21,3,15420.756,16188.8955
22,3,16311.046,16509.86
23,2,16112.324,16589.865
24,2,15983.958,16571.818
1,1,15632.035,16097.383
2,1,16424.438,16437.502
3,1,16140.976,16604.596
4,1,16237.697,16727.09
5,1,16189.239,16706.723
6,1,16591.89,16722.295
7,1,16342.204,16551.68
8,1,15665.999,16122.633
9,2,14915.77,15402.156
10,2,13692.097,14691.801
11,2,13397.81,14517.889
12,2,14699.379,14951.956
13,2,14663.432,15179.383
14,2,16905.68,16025.841
15,3,16274.085,16257.913
16,3,16308.136,16417.797
17,3,17234.164,16868.748
18,2,18118.822,17511.54
19,2,18846.752,18165.158
20,3,19058.574,18501.334
21,3,18548.775,18479.344
22,3,18882.348,18571.516
23,2,19168.13,18822.332
24,2,18698.197,18683.47
1,1,18500.594,18305.205
2,1,19198.455,18368.63
3,1,18721.494,18282.66
4,1,18665.229,18204.709
