real,pred
16230.716,15790.38895282887
16503.158,16001.134140983328
16853.771,16264.80732428967
16689.117,16142.08196963582
17015.316,16383.23511548024
17301.07,16587.694668471486
17345.064,16618.58123853227
17143.984,16476.107984376416
17137.287,16471.305263091643
17125.693,16462.996902437295
17240.453,16544.884162264756
17591.488,16788.57346216658
17399.303,16656.4487231409
17272.127,16567.29586599168
17507.62,16731.304683255727
17193.785,16511.71119956079
16370.651,15899.250359331343
15268.682,15011.463033518134
13736.807,13697.60407826153
13442.047,13440.179615385274
14917.595,14716.283412209335
15158.363,14919.235235934835
13838.932,13786.673840736636
13477.887,13471.492150408152
14103.35,14016.751372810506
13761.569,13719.207513704949
14221.828,14119.502074824743
15424.201,15140.57730557065
15398.373,15119.208446335231
14860.032,14667.443313522615
15797.294,15445.604779259682
16247.584,15803.572882050148
16278.241,15827.494919187036
16022.856,15626.427954014936
16831.447,16248.292819494747
17130.07,16466.139206259257
17194.41,16512.157543240493
17370.602,16636.44654032896
17070.295,16423.08788569842
16723.91,16168.18697350391
16027.365,15630.008748929204
15239.317,14986.964227438331
13880.942,13823.28732821851
13581.389,13561.912739070978
13759.989,13717.830786852937
14123.629,14034.356286681785
14389.139,14264.145611301827
13918.001,13855.565907206601
15827.108,15469.671865305758
16335.905,15872.335327516332
16445.443,15956.900194430418
16952.965,16337.762775356587
17470.068,16705.458945785158
17831.2,16948.82192071366
18109.303,17128.17875816595
18260.926,17222.890289941806
18474.922,17352.761086834194
18072.531,17104.889974341295
18207.2,17189.594495106343
18280.39,17234.90087927302
18222.525,17199.12411321363
18257.738,17220.933715051895
18557.115,17401.45032624662
18265.64,17225.811104457098
17037.326,16399.22202371067
15476.146,15183.464282158944
15472.788,15180.694512016493
15347.178,15076.767952378605
17419.818,16670.700409731173
16289.726,15836.448598106035
16409.242,15929.04265599108
16781.797,16211.408728948618
16550.676,16037.381423210361
17793.92,16924.24064985094
19056.322,17682.26551745056
19696.387,18003.612176427003
19163.727,17739.277079510863
19135.22,17724.26398610175
19150.186,17732.154720375926
19061.27,17684.913650294362
19832.752,18066.256867952427
19604.932,17960.4460286754
20121.746,18192.1461058449
19978.807,18131.064127054837
19961.143,18123.355362894126
19461.908,17891.076140101493
19780.732,18042.61591238019
19390.623,17855.664079196315
18239.535,17209.673232526868
16903.184,16301.248113890393
17554.418,16763.33386097911
16915.156,16310.04784182832
16126.976,15708.885670577254
16423.498,15940.02471074143
16705.258,16154.203166129635
15576.782,15266.168911026516
16539.584,16028.93438800827
18155.258,17157.12201359249
19589.746,17953.17963517732
19329.068,17824.633720626618
18811.955,17548.015876116613
18636.6,17447.866736238004
18745.377,17510.36137810858
18487.928,17360.509555254048
18429.941,17325.837611087714
17759.645,16901.53296344141
17440.895,16685.311040326127
17851.193,16961.965386693675
17295.406,16583.715815439115
16823.637,16242.502598217987
16424.877,15941.089129378932
15796.573,15445.030108103681
15434.809,15149.349742814189
13492.235,13484.029570073288
12640.3,12741.603803026803
13578.077,13559.01937738384
12394.907,12529.631020695057
13266.065,13286.43294039238
13570.794,13552.656541567283
12855.948,12928.824217016427
12928.534,12991.996182915238
14124.255,14034.89792383469
15581.556,15270.078701730054
16513.129,16008.751175512483
15500.199,15203.269978663047
15402.118,15122.307512493842
15103.956,14873.561833907723
14740.859,14565.98820773885
13830.982,13779.738881703113
13717.854,13681.06635298106
13352.657,13362.080097317517
13788.97,13743.112512762413
13673.869,13642.672570098412
13682.587,13650.28353335678
13650.081,13621.90301128309
13683.694,13651.248681787622
12445.845,12573.522389148873
11597.482,11852.765231511801
10646.845,11082.168284857655
10659.626,11092.191857788734
11316.305,11619.982854602098
11782.836,12008.09119468652
11808.888,12030.031906176242
11878.99,12089.199333109967
12744.519,12831.98812852216
12952.24,13012.6411926998
13046.168,13094.502415102523
13482.325,13475.367128755242
13819.54,13769.763437069021
13709.145,13673.457861631096
13706.842,13671.447644701457
13709.764,13673.997485233778
13818.745,13769.069565407704
13386.867,13391.969266557475
13589.351,13568.868843514107
13410.978,13413.03438722899
13816.627,13767.229489192754
13439.403,13437.870283573571
13564.619,13547.265270720967
13123.643,13162.08932876071
12937.842,13000.10362574247
12338.117,12480.773246596407
12100.963,12277.69148833772
12775.202,12858.635574681983
12742.949,12830.626695466173
11804.947,12026.711478933
11518.337,11786.877870365091
11808.19,12029.443670342212
12664.381,12762.469016760651
13300.76,13316.735918889783
13652.685,13624.172203605873
13728.107,13690.008589447272
14193.301,14094.78157078081
14428.717,14298.267114783528
15026.468,14808.32019426167
15040.029,14819.753522058065
14860.708,14668.014343012639
14435.438,14304.066305938852
14780.646,14599.919140676202
14928.104,14725.187481036717
14842.793,14652.80204786465
14057.293,13976.747286109814
14011.425,13936.871463125333
13817.1,13767.640234498554
13815.113,13765.907929896792
14168.849,14073.587166194604
13289.48,13306.885394802217
14416.91,14288.095049151849
14924.955,14722.517141493685
15022.0,14804.556974094368
15319.169,15053.493394736672
14882.339,14686.383687183798
15270.584,15013.044215395077
16166.518,15740.02873442909
17673.908,16844.244892861705
17910.908,17000.963598193382
18441.238,17332.621948282933
18759.316,17518.283165974477
18684.346,17475.445596684047
18324.162,17261.73507556073
18566.527,17406.96811056259
17540.453,16753.797674840993
17591.889,16788.84490520658
17729.326,16881.35161950059
17984.82,17048.796517067993
18099.338,17121.887315758646
18271.71,17229.553859431526
18192.873,17180.66410876995
17431.441,16678.761745066276
17621.701,16809.05077357116
16331.154,15868.65226015688
16109.227,15694.874792199353
15423.655,15140.12811786114
15070.644,14845.546589127505
15008.233,14792.9384434163
15558.803,15251.427488838033
16365.19,15895.020803577778
17100.275,16444.708822965855
15799.605,15447.473468579095
16109.557,15695.131010964718
15587.245,15274.735434268343
15420.756,15137.725828729004
16311.046,15853.027793764097
16112.324,15697.314075643231
15983.958,15595.441029580094
15632.034,15311.370599135866
16424.438,15940.75087806316
16140.977,15719.926657075102
16237.698,15795.852875416764
16189.239,15757.886065757517
16591.89,16068.697108808845
16342.203,15877.222641625167
15665.998,15339.074441192206
14915.77,14714.735061749665
13692.097,13658.580926092825
13397.81,13401.525225786083
14699.378,14530.573019485331
14663.431,14499.836727821594
16905.68,16303.080190891304
16274.084,15824.25980481238
16308.136,15850.76942540568
17234.164,16540.41639999848
18118.822,17134.1927725374
18846.752,17567.513008557078
19058.574,17683.470934495806
18548.775,17396.531737810004
18882.348,17587.324395566473
19168.13,17741.58515407647
18698.197,17483.400903278303
18500.594,17368.0496534087
19198.455,17757.45776914146
18721.494,17496.75407271268
18665.229,17464.441074294853
17764.924,16905.0365812677
17636.447,16819.017968321557
17457.615,16696.870195602987
14874.504,14679.735300379749
14198.658,14099.428292369472
13923.785,13860.601518197198
14075.364,13992.445471601948
12684.484,12779.898205055108
12712.037,12803.796857623218
13669.313,13638.690101722003
13449.32,13446.530081157682
14642.477,14481.900339594178
15589.797,15276.825266372967
16916.445,16310.989140979846
18061.588,17097.921326072057
17193.016,16511.15365512646
16482.742,15985.50847916559
17257.096,16556.658599981416
18295.027,17243.885669681593
19583.246,17950.05777567841
19882.879,18088.777556387922
20702.564,18416.35633595529
20801.713,18450.74952254515
20416.703,18310.84245325572
20023.371,18150.354215153733
