real,lstm
18293.792,18371.824789292634
17951.924,18030.058914957463
17575.767,17659.98910636407
17906.417,17989.047396847127
17891.743,17968.37504580718
17217.754,17295.468261400878
17018.918,17099.72136061591
17605.311,17683.566927112162
16513.952,16583.13060473454
14519.848999999998,14578.249254282831
13336.825,13392.925304748385
12419.286,12474.66281218481
12022.837,12086.801067528395
12653.561,12731.373148708313
12876.192,12947.924267539649
12018.621,12073.11239314851
13166.912,13234.082264823734
13509.537,13574.767708819627
13906.192,13969.088739007233
13575.623,13635.500816853611
13750.838999999998,13811.712499750673
13531.567,13592.312614023953
14504.347999999998,14571.496784440695
16222.797,16291.581444671272
17478.908,17541.341327780006
18395.534,18455.09177094054
18088.072,18165.096004212915
18070.163,18156.897392867028
18381.077,18465.25607979548
18101.6,18187.348121989784
17950.385,18038.332250940322
18392.874,18473.656008104503
18322.306,18399.25488485497
16884.651,16968.1681976701
14613.372,14683.856265045224
13059.538,13114.841963824152
12770.955,12835.058417630462
13053.98,13127.838336420326
12919.935,12987.956013792274
12955.14,13019.643655435262
13182.795,13246.359083121537
14206.168,14275.080852727113
15535.350000000002,15605.914329610287
16157.435000000001,16224.910365338144
16490.535,16558.14883992475
16641.529,16711.65522209954
16755.921,16828.772464295744
17414.523,17488.761556753037
18860.61,18922.99986539137
19433.884,19491.99105317098
19780.369,19846.686047929048
20116.837,20187.919179558274
20106.606,20184.573274048686
20215.545,20296.255837353587
20089.375,20171.74085609716
19805.97,19892.204780318854
19300.577,19390.042033166705
18500.542,18590.92006223452
17782.86,17869.280506935236
15557.954000000002,15623.428905403136
15913.550000000001,15998.395375501632
16487.567,16565.44284360659
16257.090999999999,16324.126221855997
17144.244,17218.66100484085
17915.193,17980.5296673457
18182.49,18244.219724519073
19379.853,19437.359431524095
19998.538,20046.423244328318
20369.042,20422.39102456224
20804.436,20860.795194996415
20773.313,20837.855610559403
20952.575,21021.02679449868
20557.513,20633.907461088416
20689.795,20765.435129746314
20820.982,20884.801143958684
21016.262,21072.787231859085
20189.704,20261.60910008651
20760.385,20829.380957613408
20792.768,20844.344346388694
19970.647,20040.020661609888
19387.685,19471.05936368507
19365.143,19441.614340264616
17008.451,17073.206422078132
15157.643,15222.739577918766
14542.435,14611.22128056836
15002.655,15085.786021503327
15884.855,15971.338903124151
15992.698,16063.248448372899
15222.04,15277.579549435794
16063.563,16136.170023810386
16736.734,16806.17925052893
17589.15,17656.979022164163
17464.088,17530.162522089002
16938.228,17009.075101288676
16433.994,16508.06838822615
16640.831,16719.330760986624
17122.455,17199.938527269183
17587.156,17661.421182053804
16715.692,16786.284035713492
16566.849,16644.732716340837
16105.476999999999,16178.521310705959
15412.829000000002,15482.091210580884
15763.972000000002,15842.36330059719
16903.868,16983.464770414947
16705.315,16775.842806145072
16183.652,16254.887252351164
16358.959,16434.59385047507
16148.472000000002,16220.602709795055
16316.246,16391.537514651834
15774.998,15845.993159727273
15955.823999999999,16031.626740233121
14650.193,14711.739983109652
15515.131999999998,15594.913104821264
16230.717,16308.600200519977
16503.158,16575.888468741894
16853.772,16927.132064385234
16689.117,16761.031503983853
17015.317,17090.455505631387
17301.07,17375.74362022978
17345.065,17420.251372237024
17143.984,17221.331751277565
17137.287,17216.233772809326
17125.694,17203.57717753303
17240.453,17317.855762637675
17591.489,17667.67255727154
17399.303,17473.780585710225
17272.126,17349.211978537856
17507.62,17585.064910655736
17193.785,17268.526952875673
16370.650999999998,16444.817939039585
15268.682000000003,15337.677498055516
13736.807,13791.912229179858
13442.047,13508.047838694123
14917.596,15006.93570545715
15158.363,15235.618588879226
13838.933,13894.092456002056
13477.887,13535.737712259112
14103.351,14172.841725308715
13761.569999999998,13825.138319231091
14221.828,14291.586206364153
15424.201,15499.78424638909
15398.373,15467.584960761187
14860.032,14925.35222592455
15797.294000000002,15870.304161031067
16247.584999999997,16319.102968024728
16278.241,16350.213911292969
16022.857000000002,16096.816513527452
16831.447,16907.57530821961
17130.07,17203.607067387817
17194.41,17269.802546384453
17370.602,17448.28366046202
17070.294,17148.68973389369
16723.911,16803.866303236304
16027.364000000001,16104.706556078314
15239.317,15311.794642035185
13880.943,13940.809419923542
13581.389,13646.679182987928
13759.989999999998,13831.221783793984
14123.629,14196.27712968987
14389.14,14459.740375612198
13918.002,13980.009964479028
15827.107999999998,15901.601476335047
16335.906000000003,16406.40420095575
16445.443,16514.630090465664
16952.965,17025.735178879917
17470.068,17541.697368697343
17831.199,17903.972958097875
18109.303,18184.621112296998
18260.925,18338.46683223498
18474.921,18553.189395243942
18072.532,18154.38049127114
18207.2,18290.854930896578
