real,gru
20116.837,19786.58195
20106.606,19949.39374
20215.545,20024.61244
20089.375,19979.52184
19805.97,19785.30811
19300.577,19404.37334
18500.542,18778.96066
17782.86,18061.06788
15557.954,16609.22005
15913.55,15886.31633
16487.567,15941.0218
16257.091,16018.61938
17144.244,16474.44142
17915.193,17168.52956
18182.49,17716.655
19379.853,18540.48181
19998.538,19334.65613
20369.042,19909.8143
20804.436,20365.01393
20773.313,20554.40572
20952.575,20673.17921
20557.513,20524.67674
20689.795,20449.19607
20820.982,20495.11392
21016.262,20632.90088
20189.704,20311.26758
20760.385,20323.2455
20792.768,20432.71269
19970.647,20090.22243
19387.685,19530.87863
19365.143,19204.47878
17008.451,17941.34846
15157.643,16207.07755
14542.435,14974.80939
15002.655,14655.10047
15884.855,15067.50925
15992.698,15499.88798
15222.04,15396.27832
16063.563,15618.26939
16736.734,16125.31034
17589.15,16851.43689
17464.088,17233.50483
16938.228,17113.28608
16433.994,16709.98842
16640.831,16537.37187
17122.455,16718.16154
17587.156,17101.32047
16715.692,16937.40275
16566.849,16661.4218
16105.477,16286.49489
15412.829,15746.12236
15763.972,15586.65383
16903.868,16102.95448
16705.315,16435.12747
16183.652,16328.88838
16358.959,16265.36189
16148.472,16148.55937
16316.246,16148.82662
15774.998,15926.10676
15955.824,15840.93826
14650.193,15233.3452
15515.132,15187.40362
16230.717,15608.91914
16503.158,16058.39135
16853.772,16469.0718
16689.117,16609.27632
17015.317,16776.55577
17301.07,17006.39996
17345.065,17159.07558
17143.984,17125.99366
17137.287,17064.29133
17125.694,17020.40599
17240.453,17052.35473
17591.489,17248.20009
17399.303,17294.92145
17272.126,17223.977
17507.62,17274.44427
17193.785,17179.73474
16370.651,16708.12558
15268.682,15870.07383
13736.807,14660.03405
13442.047,13822.91065
14917.596,14091.31187
15158.363,14576.673
13838.933,14315.89985
13477.887,13868.80652
14103.351,13862.07603
13761.57,13803.46466
14221.828,13957.44049
15424.201,14611.26787
15398.373,15079.58388
14860.032,15061.60777
15797.294,15366.35769
16247.585,15807.14866
16278.241,16086.39726
16022.857,16084.46849
16831.447,16391.45136
17130.07,16761.44381
17194.41,16996.08093
17370.602,17171.44295
17070.294,17110.48171
16723.911,16861.82361
16027.364,16366.0274
15239.317,15687.65341
13880.943,14675.41678
13581.389,13940.0569
13759.99,13679.02352
14123.629,13788.48896
14389.14,14045.53028
13918.002,14023.51201
15827.108,14783.98288
16335.906,15613.07119
16445.443,16136.28431
16952.965,16588.61188
17470.068,17057.90282
17831.199,17477.76649
18109.303,17815.90426
18260.925,18044.07989
18474.921,18237.03121
18072.532,18134.94417
18207.2,18076.28094
18280.391,18091.58366
18222.526,18081.78419
18257.739,18084.15164
18557.115,18229.70908
18265.641,18195.36036
17037.327,17545.83448
15476.147,16341.24168
15472.788,15613.86503
15347.178,15278.70921
17419.819,16118.54995
16289.726,16312.92016
16409.242,16324.33106
16781.796,16480.48796
16550.675,16489.0769
17793.92,17035.51444
19056.323,18038.72697
19696.386,18968.90189
19163.727,19178.04033
19135.22,19110.75211
19150.186,19033.38925
19061.269,18944.41946
19832.752,19262.44664
19604.931,19402.85423
20121.746,19672.38688
19978.806,19774.55919
19961.142,19772.38075
19461.909,19507.54257
19780.733,19469.18334
19390.623,19314.36971
18239.536,18639.38822
16903.183,17540.1431
17554.417,17215.14191
16915.157,16915.95678
16126.975,16381.8576
16423.498,16201.09782
16705.257,16320.17724
15576.782,15923.26107
16539.584,16049.52021
18155.257,16986.45464
19589.747,18335.41543
19329.069,19016.9472
18811.956,18968.59332
18636.599,18710.83113
18745.377,18592.03478
18487.927,18432.83086
18429.942,18306.54007
17759.644,17926.84749
17440.894,17522.02105
17851.193,17507.74249
17295.407,17320.71288
16823.637,16956.94983
16424.876,16549.58364
15796.573,16038.24471
15434.81,15583.11189
13492.235,14475.26464
12640.3,13388.38161
13578.077,13218.34965
12394.907,12810.78917
13266.065,12902.86136
13570.794,13194.23645
12855.948,13110.85255
12928.534,13022.3333
14124.256,13471.13211
15581.557,14463.62957
16513.129,15564.18282
15500.199,15758.00973
15402.118,15620.82497
15103.956,15346.33852
14740.86,15000.50499
13830.983,14390.61393
13717.854,13952.97371
13352.657,13590.49329
13788.971,13589.04319
13673.869,13616.33746
13682.588,13643.90118
13650.081,13649.3807
13683.694,13664.27288
12445.845,13154.19503
11597.482,12413.86113
10646.845,11574.22566
10659.626,11080.55999
11316.305,11106.78877
11782.836,11411.07013
11808.888,11672.91581
11878.99,11855.31161
12744.519,12288.25517
12952.24,12685.12387
13046.168,12951.59501
13482.325,13257.53613
13819.54,13581.94699
13709.145,13724.86225
13706.842,13764.56213
13709.764,13764.06983
13818.746,13798.39042
13386.867,13639.82825
13589.351,13593.52887
13410.978,13514.52998
13816.627,13632.14304
13439.403,13581.13161
13564.619,13569.4183
13123.643,13386.17855
12937.842,13168.95579
12338.117,12790.96253
12100.963,12446.97865
12775.202,12528.5696
12742.949,12652.00196
11804.947,12356.95612
11518.337,11990.51925
11808.19,11877.09956
12664.381,12197.82386
13300.76,12737.18585
13652.686,13252.10761
13728.108,13582.416
14193.301,13928.93524
14428.718,14229.66322
15026.468,14644.90099
15040.028,14907.56425
14860.708,14938.87651
14435.438,14717.57378
14780.647,14691.03423
14928.104,14779.45984
14842.793,14811.1721
14057.294,14470.06205
14011.425,14184.91371
13817.1,13955.82116
13815.113,13837.52503
14168.849,13946.12893
13289.48,13679.62044
14416.911,13933.57168
14924.955,14408.18213
15022.001,14765.17953
15319.168,15071.38175
14882.34,15038.255
15270.584,15118.05915
16166.519,15584.85956
17673.908,16602.62143
17910.908,17389.80592
18441.238,18002.58926
18759.316,18441.70375
18684.346,18594.07696
18324.163,18433.17635
18566.527,18394.71075
17540.453,17909.29335
17591.889,17576.77927
17729.327,17509.01721
17984.821,17644.37693
18099.337,17809.45948
18271.71,17981.75163
18192.873,18035.96744
17431.442,17674.1525
17621.702,17488.14969
16331.155,16824.19053
16109.227,16268.2234
15423.655,15692.2081
15070.644,15221.1519
15008.233,14968.2723
15558.803,15127.62654
16365.19,15668.10281
17100.276,16382.83957
15799.605,16212.93684
16109.557,16074.69626
15587.245,15780.2935
15420.756,15508.77582
16311.046,15772.49049
16112.324,15939.05434
15983.958,15945.14484
15632.035,15757.67567
16424.437,15978.05972
16140.976,16056.6129
16237.697,16107.18038
16189.239,16109.55135
16591.89,16284.45975
16342.204,16300.86928
15665.999,15961.59569
14915.77,15365.28869
13692.097,14447.17785
13397.81,13763.8184
14699.379,14002.22692
14663.432,14312.66031
16905.68,15486.99842
16274.085,16062.68582
16308.136,16257.0402
17234.164,16712.33829
18118.823,17423.8909
18846.751,18194.86278
19058.575,18710.86014
18548.775,18675.59363
18882.347,18694.31962
19168.13,18857.1112
18698.198,18736.37728
18500.593,18508.99812
19198.455,18707.48434
18721.494,18671.77915
18665.228,18561.98405
17764.924,18062.39798
17636.448,17658.26077
17457.615,17392.64018
14874.504,16056.71048
14198.658,14836.91694
13923.785,14119.35119
14075.365,13900.68581
12684.484,13284.10557
12712.037,12886.77314
13669.313,13118.92369
13449.32,13294.84306
14642.477,13893.28543
15589.796,14741.56127
16916.445,15866.26024
18061.588,17078.98659
17193.016,17361.18902
16482.743,16969.2205
17257.096,16984.64718
18295.027,17562.85763
19583.247,18885.48714
19882.878,19358.35527
20702.564,20087.61146
20801.712,20504.48703
20416.704,20450.25189
20023.372,20125.21378
19291.707,19546.30883
20186.83,19632.18678
19810.175,19640.28341
16240.926,17458.2195
12625.193,13858.7506
14183.026,13878.85566
15143.667,14682.80208
15651.744,14828.73063
14248.001,14642.80958
15264.657,14829.87084
14827.437,14831.86819
15829.494,15438.23219
16463.469,15939.35761
16536.465,16243.14581
16986.673,16625.72804
17466.822,17051.66551
17147.112,17137.84323
17773.639,17498.30782
18492.83,17914.76495
18804.592,18383.86337
19444.257,18916.90761
19090.049,19037.54834
17433.73,18202.29657
17971.769,17830.38941
18697.623,18098.07328
18995.506,18502.11291
19323.562,18889.01686
18350.412,18616.2271
17303.334,17825.29319
17479.736,17406.31127
16463.244,16792.06772
17084.936,16714.59761
15805.756,16197.19807
15202.149,15547.86823
16155.148,15626.01877
16748.131,16096.04114
17303.557,16686.29895
19217.658,17922.39038
19799.776,19008.03914
19966.262,19612.84365
20173.698,19920.38652
19515.304,19695.99283
19044.594,19231.72075
18418.258,18645.00663
18726.977,18466.57563
19080.072,18633.02168
19230.178,18855.88044
19161.214,18944.8977
19059.385,18912.46018
19042.426,18863.77839
18947.419,18790.50869
17698.776,18142.21268
15535.822,16647.06588
15007.193,15476.25566
16215.793,15503.97938
14477.845,14970.46129
15664.94,15100.15865
16005.356,15481.21473
16755.956,16082.10543
16686.7,16430.45938
17123.221,16765.8763
16726.649,16764.15148
17183.301,16900.71998
18231.75,17496.05029
19041.672,18289.84395
19930.099,19166.90987
20127.319,19734.66503
19647.252,19719.88537
19831.332,19673.50775
19345.606,19413.35085
19620.877,19358.15307
18965.812,19058.63299
18806.119,18764.8588
18025.095,18244.65137
17084.64,17474.39948
17762.032,17354.79083
16214.576,16702.96167
16972.331,16597.32037
17205.282,16783.77153
16759.078,16728.5298
16840.027,16687.62642
17671.373,17065.58363
18452.012,17724.71647
18510.543,18158.37606
18032.011,18104.90839
19509.658,18678.72327
20142.342,19426.8259
19850.827,19692.76033
20095.42,19835.88702
19875.585,19783.86197
19699.147,19622.83126
19016.284,19184.68818
19757.511,19259.90248
19893.391,19482.26806
19576.019,19457.81904
18925.561,19073.23507
19281.813,18978.23016
19173.477,18947.74075
17541.05,18144.13091
16302.967,16973.65299
14694.536,15559.23077
14142.143,14536.33928
13932.091,13990.75888
13970.809,13812.99513
15071.764,14277.87468
15725.612,14970.36019
16578.583,15792.86834
17498.362,16700.24873
18866.874,17849.15496
19423.573,18783.59095
19305.771,19165.17362
19229.092,19202.03485
18952.079,19014.62018
19413.035,19088.03054
19597.372,19269.25273
18174.661,18684.27927
18871.633,18549.75909
18041.719,18195.55904
18463.087,18150.39547
18397.545,18171.02299
18966.127,18460.23722
19070.465,18721.0306
18754.751,18691.61459
18265.482,18378.30737
16461.873,17292.65862
16781.205,16729.03266
16837.512,16586.69629
15086.943,15772.90016
14396.179,14892.45053
14954.869,14680.66157
16470.471,15384.76457
17592.877,16479.31699
17437.736,17093.61856
18397.995,17766.96578
19071.581,18465.99102
18966.591,18783.66655
18094.511,18441.02156
18063.368,18107.71012
18397.509,18104.25433
18588.055,18257.1128
18027.653,18094.03903
17237.935,17560.25545
17468.148,17320.60123
17206.29,17139.9742
17988.597,17420.24082
17987.974,17669.97759
18069.151,17826.12835
17330.006,17539.9998
16031.758,16681.58867
15497.257,15874.25314
15884.704,15648.06078
15730.954,15576.78403
15408.32,15421.62843
15545.835,15388.32322
15550.47,15404.06902
17017.382,16089.15416
18075.314,17097.48841
19306.346,18284.58685
19261.362,18936.33426
19247.313,19144.86698
19914.951,19481.99026
20141.756,19794.02276
20019.885,19876.34382
