real,lstm
5107.504,5082.937807292938
2880.309,2970.6016897734403
2284.32,2318.0868342326876
2213.339,2210.830963257253
2227.66,2218.8054594565033
2195.089,2199.6936152175067
1978.3860000000002,2011.36571988523
1112.934,1223.91134569785
951.1120000000001,1022.872650106892
1030.148,1077.3853186776937
665.12,760.0211388312355
685.623,754.5240790820345
701.716,769.6424527535587
709.346,779.6576575846747
794.73,856.7949832659663
773.734,846.9267951053232
1006.973,1047.2679284524322
869.1029999999998,949.7432519842387
762.896,847.6029202643335
1033.207,1060.600304810673
794.576,885.6187957043649
712.864,794.5596607724353
681.093,752.4877050634994
649.588,718.9697175296172
643.457,708.5409421483837
640.277,704.7309660718777
706.861,757.7472925866767
669.093,737.7870688841343
621.136,697.0726171936169
613.4,683.20394732159
623.375,688.0315949734003
607.977,677.0242729134783
613.499,679.599399624709
699.139,747.2281299604177
1050.896,1036.9309313669205
1025.528,1073.6126401479842
966.545,1035.8574873527587
1082.216,1118.258362567693
954.904,1030.7692226269544
980.3479999999998,1034.1328328911663
1140.508,1159.8844616882502
1244.219,1265.816201441884
1324.763,1350.785254324615
1198.379,1265.782269740969
1021.604,1108.863504246682
855.756,946.4082327798754
851.064,911.0096440652609
816.625,876.70576256831
825.01,878.4382665302605
796.277,857.275168998316
827.472,879.204487062052
793.855,857.1498750748784
791.38,851.7640000206233
767.345,831.7041298918575
789.136,845.422746380061
772.941,835.1273566144855
816.409,868.1032318198384
1151.189,1140.8914529230296
2099.421,1955.0366123470662
2433.026,2376.6280104603766
2389.656,2415.6648674311637
2047.1490000000001,2135.3473857123254
1816.2910000000002,1893.438999657154
2119.952,2097.3656406947375
2261.507,2244.9919888157247
2188.487,2210.3845353444813
2151.994,2175.5336480013725
2175.409,2188.417162108123
1899.929,1960.9334749705195
1550.6090000000002,1636.6760800192355
1535.863,1572.884780381143
1524.923,1553.0414421973824
1526.4590000000003,1553.4731647170781
1434.268,1479.7342628276945
1413.178,1452.6400728890897
1462.903,1490.3122097659707
1487.303,1517.2322202852367
1364.288,1420.2630698487162
1439.261,1468.6158926938772
1471.84,1502.6613616837858
1460.223,1498.8692581247092
1695.7629999999997,1695.7936480390429
3957.502,3646.1366458454127
6196.336,5895.795102174043
7335.2429999999995,7207.295186208962
7556.609000000001,7528.393008224963
7035.952,7053.312630652426
7578.96,7506.857953672885
7965.700999999999,7892.442103871344
7438.040999999999,7412.3452000446305
6584.592,6577.320916152237
6139.991,6110.321748239516
5696.883,5666.5324599173055
5487.915,5443.21596322298
5337.982,5291.41219050002
4755.183,4742.476559583424
4138.981,4140.175057194232
3090.246,3140.703939521074
2448.411,2489.9988409363027
2461.959,2454.117483109474
2462.283,2455.6082920129297
2363.048,2373.3733492739198
2395.332,2403.172238570094
2401.56,2416.326013954997
2406.733,2425.710439395785
2837.993,2821.9931605000493
5621.983,5432.3900118176925
7651.193000000001,7542.154871485709
7943.403,7913.09642461109
7801.6939999999995,7774.580365582941
7215.215,7193.938714865445
8066.752999999999,7993.722517858981
8501.788,8433.517900910376
8461.488,8396.4929006896
8250.669,8188.280432456492
8111.7429999999995,8047.149993005274
7450.829,7399.970413049697
6935.673,6883.162886459588
6383.115,6336.61509342408
6020.675,5970.532281659602
5347.206,5316.689568868398
3709.8710000000005,3749.5733871339553
2667.651,2712.4991883149146
2774.38,2750.1440009816884
2712.59,2698.747062409043
2655.115,2650.6465165437457
2654.603,2656.2663613570926
2691.755,2697.4323207794428
2686.255,2699.683636970758
3176.806,3155.6003039854763
5935.98,5773.016993281602
8421.805,8315.193538904665
8964.078,8926.23203199625
8581.751,8545.648510329722
8199.8,8158.930057649134
8824.673,8761.543552837371
8911.703,8846.20687264919
8669.656,8599.642739274024
8297.36,8229.994465853213
8095.339999999999,8026.208718379019
7351.067999999999,7294.979470690249
6424.681,6381.404541188954
6292.24,6230.541913622855
5537.052,5503.573652938603
4751.973,4731.959023989676
3589.133,3611.4156230208864
2882.224,2902.723979993224
2959.773,2935.7896524890657
3001.995,2981.5933749331234
2965.897,2958.798624614715
3005.563,3001.870124769568
3079.647,3078.625917537093
3040.215,3050.2361625963445
4015.1549999999997,3959.714447796821
7303.795000000001,7139.197690418719
9431.386,9358.855157657144
9820.359,9776.970021997928
9132.789,9084.893684652327
8547.908,8498.220835558413
9835.246,9761.359253640174
10512.664,10435.441754063604
10163.155,10076.397261379718
9956.311,9871.824576654433
9702.35,9621.032444048404
8945.681,8866.765807055472
7970.249000000001,7899.656490225791
7461.284,7391.740957129954
6671.133,6613.945691215514
6087.417,6032.377600734233
4612.496,4606.18339956808
3910.758,3897.9967079432004
4032.0130000000004,3987.0942999320023
3984.376,3950.088774420976
3711.983,3698.418292660951
3631.085,3618.4877247612467
3762.616,3744.237912827253
3857.3760000000007,3843.2079903297417
5296.365,5219.287801665305
8354.024,8242.064016581056
10591.196,10535.43604232168
11036.676,10979.233676948068
10211.912,10134.510590157506
8423.199,8348.573191414831
10136.248,10067.403919906137
10736.641,10660.773684495447
11142.853,11046.473093180177
11252.011,11156.722207171915
11171.452,11075.055608003138
10643.58,10544.177404897688
9501.657,9404.189897294997
9052.071,8965.017704955577
8242.517,8161.784493678091
7848.515000000001,7767.600470631598
6488.741,6431.707319028138
4786.949,4767.890658363103
4957.812,4899.947472843408
4964.699,4913.855197705745
4612.535,4578.439489593505
4555.4,4521.82929045391
4757.797,4721.169239902495
4787.165,4759.491891701459
6244.971,6173.069660494565
9006.641,8926.438702385423
10675.992,10625.70171945238
11226.857,11160.480428710458
10689.98,10603.9258144083
9590.503,9500.418810039519
11074.924,11014.281795407771
10914.493,10822.319183966634
11153.532,11055.167557475565
11419.859,11327.18553393602
11000.695,10894.300095858096
10441.195,10337.247087963578
9526.881,9428.175585731027
9237.296,9148.211132806777
8658.491,8571.83841795492
8518.502,8432.478189875601
6967.963000000001,6899.404396947382
5254.748,5220.745225352048
5377.499,5320.293582501172
5410.967,5356.334911158084
5408.542,5355.230416905164
5191.393,5153.063057555436
5409.34,5365.395420508145
4924.148,4904.887690030812
