real,gru
11822.745,11820.11348938608
11540.134,11456.26232038164
10952.957,10955.415709481715
10633.174,10616.364987178324
10223.724,10230.505011498926
9667.231,9681.050319951055
8271.596,8325.670137863635
5767.236,5849.322880509614
5964.02,5799.223990958213
5871.02,5920.172272020339
5638.737,5718.829607012032
5493.176,5533.618360764979
5856.816,5834.21130063033
5923.148,5970.029913636683
7434.629,7295.473889852045
10346.545,10144.51105233526
12330.87,12374.98056047201
12749.665,12840.449970061776
11759.421,11761.554229499337
10796.073,10704.957429042814
12692.765,12493.788213233945
12791.34,12924.997236501215
12564.547,12551.277556413648
12691.413,12605.13585983276
12206.044,12200.16682201576
12039.785,11988.514086688992
11305.803,11309.395982744692
10881.603,10843.699235726832
10478.181,10472.401573623178
9657.579,9686.34187680006
8357.037,8387.103705932139
5915.475,5999.253504109143
6191.402,6029.963531611442
6137.379,6191.392182824134
5816.267,5907.903204878329
5653.74,5688.949838053941
6036.099,6009.84059223771
6044.185,6099.805007531881
7331.659,7220.904431336163
9991.518,9807.782987251756
12097.408,12112.182468027113
12815.622,12899.303337810037
11961.23,11984.421218097208
10919.061,10836.725699864386
12539.435,12344.866300110814
11566.917,11737.855494949816
10488.702,10458.384551920411
11413.981,11260.366612457274
11505.628,11575.780601327893
11791.191,11781.66166859388
11416.151,11423.82222325611
11423.447,11370.319233929155
10603.999,10628.715927589892
10105.7,10069.06046256399
8146.567000000001,8220.659323351381
5424.068,5476.451741346835
5656.927,5472.2134085965145
5776.821,5808.664455869912
5491.112,5594.310697533845
5377.016,5413.638648430585
5465.089,5474.46373118019
5362.383,5414.352058716296
6734.885,6588.511720283031
9386.421,9176.730056740758
11206.527,11236.123380920884
11652.407,11751.631666160582
11011.936,11035.805721554278
10592.833,10521.891182969568
11873.934,11745.167652296064
10683.938,10846.218229816435
9315.769,9296.598087576387
7165.376,7180.898210751532
6348.504,6276.950146955251
6104.951,6095.5062634370315
5027.055,5159.046165322065
4674.901,4680.167027019262
4266.205,4310.617716919422
4123.995,4149.872667763232
