month,date,hour,peak_flat_valley,power_num,price
5,11,10,3,10938.645,7443.748
5,11,11,3,11184.19,12203.069
5,11,12,3,10718.773,11695.253
5,11,13,2,9523.653,10391.258
5,11,14,2,11321.003,7703.942
5,11,15,2,12034.487,8189.468
5,11,16,2,11911.795,8105.976
5,11,17,2,12061.24,8207.674
5,11,18,2,11261.951,7663.758
5,11,19,2,11246.787,7653.438
5,11,20,3,11435.511,7781.865
5,11,21,3,11040.064,12045.814
5,11,22,3,10059.343,10975.749
5,11,23,2,9343.736,10194.95
5,11,24,2,8378.092,5701.292
5,12,1,1,6404.779,4358.452
5,12,2,1,6585.101,2401.586
5,12,3,1,6538.381,2384.548
5,12,4,1,6265.123,2284.89
5,12,5,1,6247.859,2278.594
5,12,6,1,6484.724,2364.979
5,12,7,1,6488.197,2366.246
5,12,8,1,7613.507,2776.646
5,12,9,2,9904.215,3612.067
5,12,10,3,10776.458,7333.38
5,12,11,3,11177.37,12195.628
5,12,12,3,10831.7,11818.468
5,12,13,2,9568.253,10439.921
5,12,14,2,11292.273,7684.392
5,12,15,2,11384.372,7747.065
5,12,16,2,11250.973,7656.287
5,12,17,2,11808.902,8035.958
5,12,18,2,11215.907,7632.425
5,12,19,2,10816.293,7360.488
5,12,20,3,10090.968,6866.904
5,12,21,3,10094.891,11014.535
5,12,22,3,9549.956,10419.957
5,12,23,2,8925.479,9738.59
5,12,24,2,7931.586,5397.444
5,13,1,1,6484.769,4412.885
5,13,2,1,6425.301,2343.307
5,13,3,1,6447.42,2351.374
5,13,4,1,6384.76,2328.522
5,13,5,1,6394.225,2331.974
5,13,6,1,6435.356,2346.974
5,13,7,1,6321.275,2305.369
5,13,8,1,6615.781,2412.775
5,13,9,2,8254.281,3010.336
5,13,10,3,9149.039,6225.921
5,13,11,3,9142.383,9975.254
5,13,12,3,9005.281,9825.662
5,13,13,2,8354.786,9115.907
5,13,14,2,9564.219,6508.451
5,13,15,2,8215.271,5590.492
5,13,16,2,8537.746,5809.936
5,13,17,2,10055.474,6842.75
5,13,18,2,10301.664,7010.282
5,13,19,2,9933.261,6759.584
5,13,20,3,9442.105,6425.353
5,13,21,3,9352.56,10204.578
5,13,22,3,9390.115,10245.554
5,13,23,2,9402.044,10258.57
5,13,24,2,7909.258,5382.25
5,14,1,1,5656.947,3849.553
5,14,2,1,5402.098,1970.145
5,14,3,1,5304.595,1934.586
5,14,4,1,5136.125,1873.145
5,14,5,1,5046.943,1840.62
5,14,6,1,5157.594,1880.975
5,14,7,1,5211.493,1900.631
5,14,8,1,6380.44,2326.946
5,14,9,2,8853.477,3228.863
5,14,10,3,10615.084,7223.565
5,14,11,3,11225.637,12248.293
5,14,12,3,10652.983,11623.469
5,14,13,2,9046.199,9870.307
5,14,14,2,10885.896,7407.852
5,14,15,2,10552.813,7181.189
5,14,16,2,8981.256,6111.745
5,14,17,2,6467.188,4400.921
5,14,18,2,5752.806,3914.785
5,14,19,2,4983.405,3391.207
5,14,20,3,4423.329,3010.076
5,14,21,3,4225.801,4610.772
5,14,22,3,3859.309,4210.892
5,14,23,2,3524.341,3845.409
5,14,24,2,3280.144,2232.138
5,15,1,1,3236.427,2202.388
5,15,2,1,3460.625,1262.09
5,15,3,1,3395.507,1238.341
5,15,4,1,3142.059,1145.909
5,15,5,1,3191.604,1163.978
