数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2013/5/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1301.94,0,468,750,84
2013/5/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2100,0,713.94,1289.94,95.94
2013/5/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2063.94,0,462,1493.94,107.94
2013/5/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,390.18,0,96,192,101.94
2013/5/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,263.94,0,71.94,96.06,96
2013/5/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1253.88,0,347.94,833.88,71.94
2013/5/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1403.88,0,365.94,948,90
2013/5/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1013.94,0,234,653.88,125.94
2013/5/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1428.18,0,354,1008.06,65.94
2013/5/31,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,900,0,293.94,545.94,60
2013/6/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,203.88,0,59.94,83.88,59.94
2013/6/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,215.88,0,71.94,90.06,54
2013/6/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1613.94,0,491.94,1043.94,78
2013/6/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1878.18,0,509.94,1289.94,78
2013/6/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1505.82,0,312,1116.06,78
2013/6/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1392.18,0,365.94,930,95.94
2013/6/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1001.94,0,354,563.94,84
2013/6/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,791.88,0,234,474,84
2013/6/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,815.88,0,197.94,527.88,89.94
2013/6/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,204.18,0,53.94,84.06,65.94
2013/6/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,167.82,0,48,77.88,42
2013/6/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,210,0,65.94,101.94,42
2013/6/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,834.06,0,228,540.06,65.94
2013/6/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,912,0,234,593.94,84
2013/6/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,491.88,0,137.94,263.94,90
2013/6/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,462,0,113.94,198,150
