数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/3/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,547.18,0,0,0,0
2013/3/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,543.2,0,0,0,0
2013/3/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,392.73,0,0,0,0
2013/3/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,358.43,0,0,0,0
2013/3/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,362.42,0,0,0,0
2013/3/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,278.35,0,0,0,0
2013/3/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,282.42,0,0,0,0
2013/3/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,316.01,0,0,0,0
2013/3/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,388.74,0,0,0,0
2013/3/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,393.59,0,0,0,0
2013/3/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,363.2,0,0,0,0
2013/3/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,384.84,0,0,0,0
2013/3/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,283.12,0,0,0,0
2013/3/31,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,266.48,0,0,0,0
2013/4/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,357.58,0,0,0,0
2013/4/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,374.37,0,0,0,0
2013/4/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,369.68,0,0,0,0
2013/4/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,275.15,0,0,0,0
2013/4/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,268.82,0,0,0,0
2013/4/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,272.73,0,0,0,0
2013/4/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,325.62,0,0,0,0
2013/4/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,342.42,0,0,0,0
