hour,Peak_flat_valley,electric_charge,electric_charge
14,2,14334.408,7766.383
15,3,15088.828,8175.127
16,3,15677.37,13518.596
17,3,16114.288,13895.35
18,2,16795.398,14482.671
19,2,17108.505,9269.388
20,3,16416.683,8894.559
21,3,16143.372,13920.43
22,3,16541.662,14263.875
23,2,16635.999,14345.222
24,2,16633.248,9011.894
1,1,16415.614,8893.98
2,1,16459.068,4057.16
3,1,16451.886,4055.39
4,1,16611.526,4094.741
5,1,16649.034,4103.987
6,1,14998.269,3697.073
7,1,14678.205,3618.178
8,1,14249.09,3512.401
9,2,13433.816,3311.436
10,2,13319.339,7216.418
11,2,15201.23,8236.026
12,2,15145.777,8205.982
13,2,15337.509,8309.862
14,2,15036.593,8146.826
15,3,14406.187,7805.272
16,3,15466.111,13336.427
17,3,16208.088,13976.235
18,2,16637.503,14346.519
19,2,16812.412,9108.965
20,3,16430.295,8901.934
21,3,15911.907,13720.837
22,3,16419.214,14158.288
23,2,16927.746,14596.795
24,2,16758.967,9080.009
1,1,16626.349,9008.156
2,1,16613.433,4095.211
3,1,16746.159,4127.928
4,1,16874.763,4159.629
5,1,16919.751,4170.719
6,1,16452.558,4055.555
7,1,15990.82,3941.737
8,1,14984.604,3693.705
9,2,14087.515,3472.573
10,2,12555.975,6802.827
11,2,11381.9,6166.713
12,2,11008.087,5964.182
13,2,11164.265,6048.799
14,2,11495.028,6228.006
15,3,12211.159,6616.006
16,3,13278.107,11449.711
17,3,13647.664,11768.381
18,2,14703.315,12678.669
19,2,15075.812,8168.075
20,3,15357.13,8320.493
21,3,14636.997,12621.482
22,3,14276.331,12310.48
23,2,14205.384,12249.303
24,2,14689.242,7958.631
1,1,14585.291,7902.31
2,1,14887.367,3669.736
3,1,15066.59,3713.914
4,1,14869.043,3665.219
5,1,15577.129,3839.762
6,1,15315.669,3775.312
7,1,15706.234,3871.587
8,1,15177.14,3741.165
9,2,15607.756,3847.312
10,2,15551.363,8425.728
11,2,15873.047,8600.017
12,2,16305.194,8834.154
13,2,15975.379,8655.46
14,2,16126.713,8737.453
15,3,17226.473,9333.303
16,3,17105.813,14750.342
17,3,17505.889,15095.328
18,2,17644.62,15214.955
19,2,18564.348,10058.164
20,3,18448.191,9995.23
21,3,18023.341,15541.527
22,3,17690.069,15254.147
23,2,18374.58,15844.4
24,2,18189.029,9854.816
1,1,17815.142,9652.244
2,1,18169.195,4478.707
3,1,18227.386,4493.051
4,1,18001.495,4437.368
5,1,17993.481,4435.393
6,1,18343.998,4521.796
7,1,17709.425,4365.373
8,1,16478.698,4061.999
9,2,14311.643,3527.82
10,2,13270.555,7189.987
11,2,12768.46,6917.951
12,2,12407.904,6722.603
13,2,11042.487,5982.82
14,2,11177.17,6055.791
15,3,11864.54,6428.208
16,3,13077.295,11276.551
17,3,14269.878,12304.916
18,2,14957.949,12898.239
19,2,15524.816,8411.345
20,3,15870.352,8598.557
21,3,15959.312,13761.715
22,3,16753.733,14446.744
23,2,16709.026,14408.193
24,2,17492.535,9477.456
1,1,17747.145,9615.403
2,1,18140.42,4471.614
3,1,18282.752,4506.698
4,1,18314.582,4514.544
5,1,17804.855,4388.897
6,1,17319.088,4269.155
7,1,17334.042,4272.841
8,1,17138.838,4224.723
9,2,17134.013,4223.534
10,2,17613.094,9542.774
11,2,17326.507,9387.501
12,2,17683.34,9580.834
