数据日期,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,综合倍率
2015/4/27,无功功率,3.36,18.6,18.12,3.24,3,3.12,3.48,3,20.76,12.72,41.76,56.4,18.72,50.64,31.56,48.72,43.2,14.64,18.36,9.96,10.08,-5.52,13.56,3.72,1000,1200
2015/4/28,有功功率,17.4,16.68,32.04,9.36,16.44,13.44,32.04,20.88,38.52,94.32,94.8,88.2,37.32,80.28,104.76,116.76,70.44,43.32,70.44,108.84,41.16,27.96,24.36,42.72,1000,1200
2015/4/28,无功功率,3.84,3.6,18.36,2.64,3.36,3,2.88,2.52,18.6,70.92,48.72,79.8,22.8,75.12,105.12,58.56,22.2,31.08,34.68,89.76,17.28,4.56,3.84,19.68,1000,1200
2015/4/29,有功功率,42.96,22.92,21,16.32,16.44,19.2,37.8,20.04,36.48,115.2,82.44,99.36,45.96,118.92,99.48,114.72,90.6,54.24,28.56,49.92,49.44,47.88,16.56,19.68,1000,1200
2015/4/29,无功功率,20.28,11.16,4.2,4.2,4.68,4.92,22.2,5.76,8.64,60.48,8.4,22.56,-27.24,43.32,14.52,19.08,2.04,-65.52,-21.36,30.84,29.4,5.64,1.92,3.24,1000,1200
2015/4/30,有功功率,35.16,35.88,10.08,9.96,13.8,9.6,43.2,60.12,13.56,60.96,54.6,80.28,35.28,74.04,85.92,89.52,66.84,29.16,24.48,22.8,37.68,27.48,30.96,38.16,1000,1200
2015/4/30,无功功率,19.56,20.04,3.6,3,3.12,2.88,3.36,19.68,4.68,32.04,1.08,12.36,10.8,82.44,91.56,81.84,31.68,15.24,19.68,16.08,25.68,14.16,16.08,20.4,1000,1200
2015/5/1,有功功率,17.64,13.68,14.52,12.48,,,10.8,9.84,10.44,14.88,12.72,12.6,36.72,9.72,9.96,,9.96,10.08,10.8,34.92,11.64,11.88,16.68,26.04,1000,1200
2015/5/1,无功功率,6.72,4.2,7.68,5.4,,,5.04,4.92,5.28,4.56,5.28,4.92,11.88,4.56,4.2,,4.8,4.8,4.44,20.04,4.56,4.44,4.32,6,1000,1200
2015/5/2,有功功率,13.56,9.36,9.84,32.52,9.24,9.84,9,12.72,9.72,14.04,9.36,32.64,8.76,8.88,10.32,12.84,9.24,11.88,9.24,33.6,12.96,18,16.44,,1000,1200
2015/5/2,无功功率,6.36,6.12,6.36,21.48,6.36,6.24,6.36,6.36,6,6.24,5.88,21,6,5.76,6.6,6.24,6,5.64,5.88,21.84,5.88,3.72,3.84,4.2,1000,1200
2015/5/3,有功功率,11.4,34.08,13.68,10.56,10.8,13.8,12.96,32.76,9.48,57.6,42.36,27.12,35.4,17.52,25.8,66.12,35.28,13.68,19.44,18,31.44,17.88,27.72,14.64,1000,1200
2015/5/3,无功功率,4.32,19.44,5.64,4.08,3.84,4.56,5.88,21.24,5.88,48.36,20.76,31.32,11.64,19.56,22.2,15.48,-2.64,5.16,5.28,5.88,4.56,3.84,4.08,4.44,1000,1200
2015/5/4,有功功率,33.84,14.88,14.4,14.64,12.84,36.48,10.8,13.08,13.68,58.8,90.48,73.92,55.68,42.48,114.36,73.08,59.4,29.88,30.96,39.12,47.88,46.44,15.84,10.8,1000,1200
2015/5/4,无功功率,19.08,4.8,4.56,4.32,5.28,20.64,4.68,4.68,4.56,28.2,26.4,30,-27.12,-17.88,5.52,11.4,-16.44,9.84,9.84,9.6,8.52,1.68,2.04,4.2,1000,1200
2015/5/5,有功功率,34.08,35.04,8.4,7.92,8.04,8.04,47.16,34.56,41.04,82.56,66.48,75.24,61.92,75.84,65.04,117.24,86.88,61.08,42.36,44.16,53.64,21.48,18.24,39.6,1000,1200
2015/5/5,无功功率,18.84,18.96,3.72,3.96,3.96,4.2,4.92,19.56,28.32,43.32,30.72,31.32,-35.4,21.36,28.68,25.32,45.12,-21.24,-15.6,22.56,13.32,2.64,2.4,17.76,1000,1200
2015/5/6,有功功率,48.6,15.36,9.6,24.24,12.48,7.56,50.4,10.08,21,67.56,66.84,,40.08,30.36,79.8,76.2,68.88,33.6,51.72,46.2,39.12,,,,1000,1200
2015/5/6,无功功率,28.92,3.24,2.76,3,2.76,2.16,19.56,3.12,3.72,31.8,-4.32,,15.24,18.96,4.32,-12.12,16.92,-57.84,8.52,25.92,20.4,,,,1000,1200
2015/5/7,有功功率,26.64,33.36,10.44,10.92,10.68,20.4,30.96,30.84,40.08,69,77.52,84.84,42.72,34.92,94.92,97.2,74.52,55.08,72.24,71.28,45.6,29.76,43.92,57.48,1000,1200
2015/5/7,无功功率,4.08,19.32,4.32,3.84,3.6,3.12,5.28,3.72,18.96,27.84,35.64,13.92,-50.76,-51.84,57.48,53.16,42.24,40.92,25.92,30.24,24.24,8.4,12.72,30.12,1000,1200
2015/5/8,有功功率,24,14.52,12.84,16.68,39.12,10.44,27.96,17.76,31.32,47.4,71.28,104.64,32.4,30.6,71.4,106.8,87.72,47.76,99.96,58.8,40.8,22.2,46.2,53.64,1000,1200
2015/5/8,无功功率,7.92,3,2.04,2.4,19.08,1.92,2.4,3.96,4.08,15.24,19.56,41.52,13.2,11.64,53.64,16.8,16.56,33,59.76,55.68,7.92,7.44,2.88,23.04,1000,1200
2015/5/9,有功功率,20.28,12.72,9.24,14.28,24.6,35.76,26.76,14.88,20.28,103.8,125.4,86.64,62.28,64.2,65.76,97.68,58.2,41.4,25.2,24.24,35.64,12.6,14.28,10.32,1000,1200
