数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2015/6/22,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,200.4,0,0,200.4,0
2015/6/22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,300,0,72,132,96
2015/6/23,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,423.6,0,0,423.6,0
2015/6/23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1020,0,300,588,132
2015/6/24,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,471,0,0,471,0
2015/6/24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1248,0,360,756,132
2015/6/25,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,532.2,0,0,532.2,0
2015/6/25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1272,0,336,768,168
2015/6/26,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,543.6,0,0,543.6,0
2015/6/26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1236,0,300,744,180
2015/6/27,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,505.2,0,0,505.2,0
2015/6/27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1044,0,264,588,216
2015/6/28,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,338.4,0,0,338.4,0
2015/6/28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,516,0,120,240,144
2015/6/29,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,587.4,0,0,587.4,0
2015/6/29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1248,0,348,732,156
2015/6/30,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,493.2,0,0,493.2,0
2015/6/30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1188,0,348,660,204
2015/7/1,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,478.8,0,0,478.8,0
2015/7/1,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1260,0,360,684,204
2015/7/2,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,559.8,0,0,559.8,0
2015/7/2,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1296,0,324,744,228
2015/7/3,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,494.4,0,0,494.4,0
2015/7/3,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1140,0,324,684,132
2015/7/4,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,274.2,0,0,274.2,0
2015/7/4,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,444,0,84,192,168
2015/7/5,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,270.6,0,0,270.6,0
2015/7/5,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,384,0,96,156,132
2015/7/6,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,243,0,0,243,0
2015/7/6,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,696,0,204,492,0
2015/7/7,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,375.6,0,0,375.6,0
2015/7/7,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1044,0,300,636,108
2015/7/8,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,426,0,0,426,0
2015/7/8,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1152,0,288,660,204
2015/7/9,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,437.4,0,0,437.4,0
2015/7/9,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,996,0,276,564,156
2015/7/10,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,442.8,0,0,442.8,0
2015/7/10,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1236,0,360,684,180
2015/7/11,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,427.2,0,0,427.2,0
2015/7/11,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,936,0,204,564,168
2015/7/12,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,331.8,0,0,331.8,0
2015/7/12,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,492,0,144,216,132
2015/7/13,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,597,0,0,597,0
2015/7/13,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1164,0,348,660,156
2015/7/14,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,679.2,0,0,679.2,0
2015/7/14,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1536,0,432,852,264
2015/7/15,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,574.2,0,0,574.2,0
2015/7/15,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1344,0,336,768,228
2015/7/16,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,450,0,0,450,0
2015/7/16,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1008,0,288,552,180
2015/7/17,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,388.2,0,0,388.2,0
2015/7/17,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,984,0,252,564,168
2015/7/18,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,299.4,0,0,299.4,0
2015/7/18,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,492,0,108,216,180
2015/7/19,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,252,0,0,252,0
2015/7/19,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,384,0,120,144,108
2015/7/20,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,502.8,0,0,502.8,0
2015/7/20,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1140,0,360,624,168
2015/7/21,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,547.2,0,0,547.2,0
2015/7/21,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1344,0,372,768,180
2015/7/22,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,577.8,0,0,577.8,0
2015/7/22,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1284,0,360,756,180
2015/7/23,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,485.4,0,0,485.4,0
2015/7/23,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1164,0,288,660,216
2015/7/24,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,474,0,0,474,0
2015/7/24,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1164,0,348,684,144
2015/7/25,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,481.8,0,0,481.8,0
2015/7/25,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1116,0,276,636,192
2015/7/26,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,341.4,0,0,341.4,0
2015/7/26,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,480,0,132,204,144
2015/7/27,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,644.4,0,0,644.4,0
2015/7/27,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1368,0,396,756,204
2015/7/28,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,643.8,0,0,643.8,0
2015/7/28,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1500,0,396,888,228
2015/7/29,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,625.8,0,0,625.8,0
2015/7/29,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1536,0,408,888,240
2015/7/30,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,647.4,0,0,647.4,0
2015/7/30,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1500,0,420,900,180
2015/7/31,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,766.2,0,0,766.2,0
2015/7/31,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1500,0,384,864,252
2015/8/1,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,566.4,0,0,566.4,0
2015/8/1,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,864,0,240,408,228
2015/8/2,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,631.2,0,0,631.2,0
2015/8/2,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,816,0,228,348,228
2015/8/3,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,1008.6,0,0,1008.6,0
2015/8/3,武汉天琪激光设备制造有限公司,1000,0002845680,1200,6.2,在线,1752,0,552,900,300
2015/8/4,武汉天琪激光设备制造有限公司,1000,0002845331,60,6.2,在线,1047,0,0,1047,0
